,target,tracers,norm_rmse,r2,gap_fill_potential,gaps_needed_to_fill_for_regime,overlap_points_counted
154,x23_Dimethylbutane,"['x3_Methylpentane', 'x22_DiMethylButane_WAS', 'CO_Piccaro']","[0.20966510306066824, 0.7096664795412487, 0.7988374429609404]","[0.9560405445585594, 0.49637348781553037, 0.3618587397236265]","[0, 61, 1224]","[1393, 1393, 1393]","[287, 111, 249]"
155,Cyclohexane,"['nHeptane', 'CO_Piccaro']","[0.2810589961657315, 0.8372927426643207]","[0.9210058406743113, 0.29894086308165957]","[0, 907]","[1393, 1393]","[287, 249]"
156,Hex1ene,"['Pent1ene', 'Ethene_WAS']","[0.6042584245806035, 0.835361412918227]","[0.634871756323367, 0.30217130980726337]","[0, 61]","[1393, 1393]","[287, 111]"
157,x3_Methylheptane,['CO_Piccaro'],[0.9596991290315111],[0.07897758173615899],[1224],[1393],[249]
158,nUndecane,"['nDecane', 'CO_Piccaro', 'x3_Methylheptane', 'Naphthalene_PTR']","[0.2823039168924877, 0.9806326291470225, 0.9936140871388168, 0.9997356420530236]","[0.9203044985071593, 0.038359646652198376, 0.012731045839295962, 0.0005286460088289591]","[0, 1425, 227, 668]","[1620, 1620, 1620, 1620]","[60, 48, 60, 14]"
159,pDiethylbenzene,"['x124_TriMethylBenzene_WAS', 'x124_Trimethylbenzene', 'CO_Piccaro', 'x135_Trimethylbenzene']","[0.9473856177063263, 0.9540428295805093, 0.9705585948598243, 0.9999852095587627]","[0.10246049136320223, 0.08980227932601537, 0.058016013943723466, 2.95806637174989e-05]","[149, 0, 1425, 0]","[1620, 1620, 1620, 1620]","[23, 60, 48, 60]"
160,mDiethylbenzene,[],[],[],[],[],[]
161,nDodecane,[],[],[],[],[],[]
162,x2_Methylheptane,[],[],[],[],[],[]
163,Alpha-pinene,"['Beta_Pinene_WAS', 'Isoprene_WAS']","[0.7086061812371507, 0.7449175642549849]","[0.4978772799125024, 0.44509782246442053]","[105, 149]","[1620, 1620]","[23, 23]"
164,Beta-pinene,[],[],[],[],[],[]
165,NO,['NOy_LIF'],[0.7088302161128675],[0.4975597247253857],[1312],[1539],[113]
166,NO2,['NOy_LIF'],[0.46739671626047596],[0.7815403096289242],[1252],[1464],[173]
167,NOy,"['NO2_LIF', 'C10H17NO4_CIMS', 'C5H9NO5_CIMS', 'APAN_CIMS']","[0.3818134100855498, 0.9439066127332499, 0.9796572950429012, 0.9889772343173806]","[0.8542185198788438, 0.10904030643844254, 0.040271584269225724, 0.021924030001944983]","[1270, 1168, 1170, 971]","[1464, 1464, 1464, 1464]","[173, 167, 168, 118]"
168,O3,"['C4H7NO5_CIMS', 'HNO3_CIMS', 'ISOPN_CIMS']","[0.9168144328207408, 0.9266699176784808, 0.9573520258102323]","[0.15945129577158323, 0.1412828636697575, 0.08347709867704411]","[1009, 1008, 1008]","[1272, 1272, 1272]","[330, 328, 330]"
