,target,tracers,norm_rmse,r2,gap_fill_potential,gaps_needed_to_fill_for_regime,overlap_points_counted
134,Cyclopentane,[],[],[],[],[],[]
135,nOctane,['nHeptane_WAS'],[0.3150105783008498],[0.9007683355585642],[61],[1393],[111]
136,Isobutane,"['nButane_WAS', 'Ethane_WAS']","[0.5060902436000123, 0.5456156482377021]","[0.7438726653328802, 0.7023035643981521]","[61, 61]","[1393, 1393]","[111, 111]"
137,x22_Dimethylbutane,[],[],[],[],[],[]
138,Propane,['iButane_WAS'],[0.5176310588015973],[0.7320580869639373],[61],[1393],[111]
139,Pent1ene,[],[],[],[],[],[]
140,Methylcyclohexane,['nHeptane_WAS'],[0.35010997183247966],[0.8774230076234603],[61],[1393],[111]
141,nButane,['nPentane_WAS'],[0.4606872707334399],[0.7877672385841743],[61],[1393],[111]
142,nPentane,['nPentane_WAS'],[0.5089188695483968],[0.7410015842175819],[61],[1393],[111]
143,cis2Pentene,[],[],[],[],[],[]
144,trans2Pentene,[],[],[],[],[],[]
145,Isopentane,['nPentane_WAS'],[0.48477379482697713],[0.7649943678490518],[61],[1393],[111]
146,cis2Butene,['t2Butene_WAS'],[0.4774763604782856],[0.7720163251844103],[57],[1393],[101]
147,trans2Butene,['c2Butene_WAS'],[0.5311722486174382],[0.7178560422986944],[58],[1393],[102]
148,Isoprene,[],[],[],[],[],[]
149,x23_Dimethylpentane,[],[],[],[],[],[]
150,x3_Methylhexane,['nHeptane_WAS'],[0.5301173431699923],[0.7189756024703886],[61],[1393],[111]
151,x2_Methylhexane,['nHeptane_WAS'],[0.5349642896337614],[0.713813208816645],[61],[1393],[111]
152,x234_Trimethylpentane,[],[],[],[],[],[]
153,x24_Dimethylpentane,[],[],[],[],[],[]
154,x23_Dimethylbutane,['x2_MethylPentane_WAS'],[0.45036668272952557],[0.7971698510872028],[61],[1393],[111]
155,Cyclohexane,['nHeptane_WAS'],[0.43383494215427204],[0.8117872429659994],[61],[1393],[111]
156,Hex1ene,[],[],[],[],[],[]
157,x3_Methylheptane,[],[],[],[],[],[]
158,nUndecane,[],[],[],[],[],[]
159,pDiethylbenzene,[],[],[],[],[],[]
160,mDiethylbenzene,[],[],[],[],[],[]
