Parameter,ParameterCode,MethodCode,RecordingMode,CollectionDescription,AnalysisDescription,CollectionType,MethodType,ReferenceMethodID,EquivalentMethod,FederalMDL,MinValue,MaxValue,Digits,RoundTruncateIndicator,Units,CarbonNumber,ChemicalFormula,APP_A_PARAMETERS,AQIPOLLUTANTS,BPOIL,COMBINABLE,CORE_HAPS,CRITERIA,CRITERIAGAS,CRITERIAPM,CSNCARBON,CSNDART,CSNIONS,CSNTRACEELEMENTS,CYLINDER_GASES,DESIGNVALUE,HAPS,IMPROVECARBON,IMPROVE_SPECIATION,KEYSAT,MET,NATTSCOREHAPS,NATTSREQUIRED,NPAPGASES,PAH,PAMS,PAMS_VOC,PEP,PMCOARSE,PM10SPECIATION,PM10_METAL,PM2.5CONTNONREF,PM2.5MASSALLMETHODS,PM2.5MASS/QA,PMP_REQUIRED,QUICKLOOK,SANDWICH,SATWEB,SCHOOLAIRTOXICS,SPECIATION,SPECIATIONCARBON,SPECIATIONCATION/ANION,SPECIATIONMETALS,TARGETSVOC,UATMPCARBONYL,UATMPVOC,VOC,Param-Method,NAAQS
"1,2,4-Trimethylbenzene",45208,211,Intermittent,SS Canister Subambient Pressure,Gas Chromatograph Mass Spectro,VOC_Canister,,,,0.63,-0.63,,2,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,SCHOOL AIR TOXICS,,,,,,,UATMP VOC,VOC,45208-211,FALSE
"1,2,4-Trimethylbenzene",45208,221,Continuous,Preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response - factor adjusted,VOC_GC,,,,0.5,-1,1000,4,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,SCHOOL AIR TOXICS,,,,,,,UATMP VOC,VOC,45208-221,FALSE
"1,2,4-Trimethylbenzene",45208,222,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response - factor adjusted,VOC_GC,,,,0.5,-1,1000,4,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,SCHOOL AIR TOXICS,,,,,,,UATMP VOC,VOC,45208-222,FALSE
"1,2,4-Trimethylbenzene",45208,223,Continuous,preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response,VOC_GC,,,,0.5,-1,1000,4,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,SCHOOL AIR TOXICS,,,,,,,UATMP VOC,VOC,45208-223,FALSE
"1,2,4-Trimethylbenzene",45208,224,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response,VOC_GC,,,,0.5,-1,1000,4,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,SCHOOL AIR TOXICS,,,,,,,UATMP VOC,VOC,45208-224,FALSE
"1,2,4-Trimethylbenzene",45208,225,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID - carbon response,VOC_GC,,,,0.5,-1,1000,4,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,SCHOOL AIR TOXICS,,,,,,,UATMP VOC,VOC,45208-225,FALSE
"1,2,4-Trimethylbenzene",45208,226,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - carbon response,VOC_GC,,,,0.5,-1,1000,4,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,SCHOOL AIR TOXICS,,,,,,,UATMP VOC,VOC,45208-226,FALSE
"1,2,4-Trimethylbenzene",45208,227,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - carbon response,VOC_GC,,,,0.5,-1,1000,4,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,SCHOOL AIR TOXICS,,,,,,,UATMP VOC,VOC,45208-227,FALSE
"1,2,4-Trimethylbenzene",45208,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,,,,0.5,-1,1000,4,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,SCHOOL AIR TOXICS,,,,,,,UATMP VOC,VOC,45208-228,FALSE
"1,2,4-Trimethylbenzene",45208,229,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID – individual compound response,VOC_GC,,,,0.5,-1,1000,4,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,SCHOOL AIR TOXICS,,,,,,,UATMP VOC,VOC,45208-229,FALSE
"1,2,4-Trimethylbenzene",45208,230,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - individual compound response,VOC_GC,,,,0.5,-1,1000,4,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,SCHOOL AIR TOXICS,,,,,,,UATMP VOC,VOC,45208-230,FALSE
"1,2,4-Trimethylbenzene",45208,231,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - individual compound response,VOC_GC,,,,0.5,-1,1000,4,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,SCHOOL AIR TOXICS,,,,,,,UATMP VOC,VOC,45208-231,FALSE
"1,2,4-Trimethylbenzene",45208,232,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - individual compound response,VOC_GC,,,,0.5,-1,1000,4,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,SCHOOL AIR TOXICS,,,,,,,UATMP VOC,VOC,45208-232,FALSE
n-Propylbenzene,45209,91,Continuous,MANUAL,FLAME IONIZATION,VOC_091,,,,0.1,-0.1,,1,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45209-091,FALSE
n-Propylbenzene,45209,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,VOC_Canister,,,,0.1,-0.1,,1,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45209-101,FALSE
n-Propylbenzene,45209,120,Intermittent,SORBANT TUBE-CARBOSIEVE-C-TRAP,GAS CHROMATOGRAPH W/FLAME; GC FID,VOC_GC,,,,0.1,-0.1,,1,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45209-120,FALSE
