ParameterCode,Parameter,MethodCode,RecordingMode,CollectionDescription,AnalysisDescription,CollectionType,Units
64101,Barometric pressure,11,Continuous,INSTRUMENTAL,ANEROID,MET,Millibars
68101,Sample Flow Rate- CV,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Calculation,PM25 SPECIATION,Percent
68101,Sample Flow Rate- CV,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler,Calculation,PM25 SPECIATION,Percent
68101,Sample Flow Rate- CV,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Calculation,PM25 SPECIATION,Percent
68101,Sample Flow Rate- CV,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler,Calculation,PM25 SPECIATION,Percent
68101,Sample Flow Rate- CV,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Calculation,PM25 SPECIATION,Percent
68102,Sample Volume,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Calculation,PM25 SPECIATION,Cubic meter
68102,Sample Volume,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler,Calculation,PM25 SPECIATION,Cubic meter
68102,Sample Volume,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Calculation,PM25 SPECIATION,Cubic meter
68102,Sample Volume,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler,Calculation,PM25 SPECIATION,Cubic meter
68102,Sample Volume,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Calculation,PM25 SPECIATION,Cubic meter
68102,Sample Volume,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler,Calculation,PM25 SPECIATION,Cubic meter
68102,Sample Volume,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Calculation,PM25 SPECIATION,Cubic meter
68103,Ambient Min Temperature,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Electronic,PM25 SPECIATION,Degrees Centigrade
68103,Ambient Min Temperature,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler,Electronic,PM25 SPECIATION,Degrees Centigrade
