Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2023-10-09 10",0.4646,0.2213,0.2167
"2023-10-09 11",0.327,0.1734,0.1571
"2023-10-09 12",0.3046,0.1341,0.0939
"2023-10-09 13",0.1649,0.1681,0.1681
"2023-10-09 14",0.1145,0.2497,0.1198
"2023-10-09 15",0.0664,0.1717,0.1207
"2023-10-09 16",0.2893,0.14,0.1231
"2023-10-09 17",0.9207,0.176,0.1453
"2023-10-09 18",0.9114,0.2272,0.3045
"2023-10-09 19",1.1646,0.3617,0.437
"2023-10-09 20",0.6377,0.3471,0.3412
"2023-10-09 21",0.6392,0.2867,0.473
"2023-10-09 22",0.2825,0.2188,0.3459
"2023-10-09 23",0.2816,0.2522,0.075
"2023-10-10 0",0.2402,0.2233,0.2857
"2023-10-10 3",0.1007,0.2195,0.2642
"2023-10-10 4",0.1498,0.1834,0.277
"2023-10-10 5",0.1814,0.2065,0.2136
"2023-10-10 6",0.1707,0.2077,0.1317
"2023-10-10 7",0.2225,0.2571,0.2642
"2023-10-10 8",0.2254,0.1637,0.1205
"2023-10-10 9",0.5045,0.1231,0.1047
"2023-10-10 10",0.713,0.1448,0.1286
"2023-10-10 11",0.3465,0.1057,0.0982
"2023-10-10 12",0.4019,0.1144,0.1253
"2023-10-10 13",0.4269,0.0785,0.1246
"2023-10-10 14",0.2152,0.2044,0.1133
"2023-10-10 15",0.2891,0.0849,0.113
"2023-10-10 16",0.182,0.0793,0.1006
"2023-10-10 17",0.2149,0.1036,0.1673
"2023-10-10 18",0.0726,0.0701,0.0936
"2023-10-10 19",0.1685,0.1356,0.1732
"2023-10-10 20",0.1598,0.1767,0.2486
"2023-10-10 21",0.1909,0.2042,0.2591
"2023-10-10 22",0.3028,0.2653,0.4044
"2023-10-10 23",0.2167,0.24,0.341
"2023-10-11 0",0,0.1629,0.0832
"2023-10-11 1",0,0.0745,0.0987
"2023-10-11 2",0,0.0683,0.0732
"2023-10-11 5",0,0.0685,0.1115
"2023-10-11 6",0,0.0614,0.0594
"2023-10-11 7",0,0.0368,0.0849
"2023-10-11 8",0.1174,0.0818,0.0921
"2023-10-11 9",0.1993,0.0882,0.0949
"2023-10-11 10",0.1743,0.1108,0.1335
"2023-10-11 11",0.1213,0.0657,0.1064
"2023-10-11 12",0.0735,0.0494,0.1134
"2023-10-11 13",0.0585,0.0742,0.119
"2023-10-11 14",0.0783,0.0827,0.0985
"2023-10-11 15",0.1695,0.0632,0.0819
"2023-10-11 16",0.1087,0.0383,0.0977
"2023-10-11 17",0.0433,0.1415,0.1153
"2023-10-11 18",0.0245,0.0373,0.0974
"2023-10-11 19",0.035,0.035,0.1148
"2023-10-11 20",0.057,0.1161,0.1492
"2023-10-11 21",0.0994,0.1361,0.1169
"2023-10-11 22",0.1153,0.1299,0.2018
"2023-10-11 23",0.0509,0.0757,0.1287
