Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2024-01-15 10",0,0,0
"2024-01-15 11",0,0,0
"2024-01-15 12",0,0,0
"2024-01-15 13",0,0,0
"2024-01-15 14",0,0,0
"2024-01-15 15",0,0,0
"2024-01-15 16",0,0,0
"2024-01-15 17",0.0114,0,0
"2024-01-15 18",0.0132,0,0
"2024-01-15 19",0.0587,0,0
"2024-01-15 20",0.0569,0,0
"2024-01-15 21",0.038,0,0
"2024-01-15 22",0.1158,0,0
"2024-01-15 23",0.1119,0,0
"2024-01-16 0",0.0543,0,0
"2024-01-16 1",0.0388,0,0
"2024-01-16 4",0.0636,0,0
"2024-01-16 5",0.1171,0,0
"2024-01-16 6",0.2094,0,0
"2024-01-16 7",0.3114,0,0
"2024-01-16 8",0.3597,0,0
"2024-01-16 9",0.1584,0,0
"2024-01-16 10",0.0615,0,0
"2024-01-16 15",0.0366,0,0
"2024-01-16 16",0,0,0
"2024-01-16 17",0.0562,0,0
"2024-01-16 18",0.1006,0.1948,0
"2024-01-16 19",0.1235,0,0
"2024-01-16 20",0.1898,0,0
"2024-01-16 21",0.155,0.2317,0
"2024-01-16 22",0.196,0.3315,0
"2024-01-16 23",0.1345,0,0
"2024-01-17 2",0.0834,0,0
"2024-01-17 3",0.0746,0,0
"2024-01-17 4",0.0608,0,0
"2024-01-17 5",0.0849,0,0
"2024-01-17 6",0.1378,0,0
"2024-01-17 7",0.1192,0,0
"2024-01-17 8",0.1604,0,0
"2024-01-17 9",0.1623,0,0
"2024-01-17 10",0.0715,0,0
"2024-01-17 11",0.1075,0.2691,0
"2024-01-17 12",0.1388,0.2651,0
"2024-01-17 13",0.2256,0.2753,0
"2024-01-17 14",0.2185,0.2578,0
"2024-01-17 15",0.1687,0.1992,0
"2024-01-17 16",0.165,0.1335,0
"2024-01-17 17",0.2487,0,0
"2024-01-17 18",0.4654,0.0931,0
"2024-01-17 19",0.5706,0.348,0.0871
"2024-01-17 20",0.3872,0.1365,0
"2024-01-17 21",0.3707,0,0
"2024-01-17 22",0.3377,0,0
"2024-01-17 23",0.3013,0,0
"2024-01-18 0",0.1735,0,0
"2024-01-18 1",0.0213,0,0
"2024-01-18 4",0.0896,0,0
"2024-01-18 5",0.0838,0,0
"2024-01-18 6",0.2441,0,0
"2024-01-18 7",0.3997,0,0
"2024-01-18 8",0.7164,0,0
"2024-01-18 9",0.6706,0.1935,0
"2024-01-18 10",0.2496,0,0
"2024-01-18 11",0.0874,0,0
"2024-01-18 12",0,0,0
"2024-01-18 13",0,0,0
"2024-01-18 14",0,0,0
"2024-01-18 15",0.0155,0,0
"2024-01-18 16",0.0186,0,0
"2024-01-18 17",0.0963,0,0
"2024-01-18 18",0.379,0.0956,0
"2024-01-18 19",0.3276,0,0
"2024-01-18 20",0.2848,0,0
"2024-01-18 21",0.1581,0,0
"2024-01-18 22",0.1063,0,0
"2024-01-18 23",0.1876,0,0
"2024-01-19 2",0.1738,0,0
"2024-01-19 3",0.1818,0,0
"2024-01-19 4",0.1702,0,0
"2024-01-19 5",0.1758,0,0
"2024-01-19 6",0.2405,0,0
"2024-01-19 7",0.1773,0,0
"2024-01-19 8",0.2941,0,0
"2024-01-19 9",0.3922,0,0
"2024-01-19 10",0.1836,0,0
"2024-01-19 11",0.0975,0,0
"2024-01-19 12",0.0416,0,0
"2024-01-19 13",0,0,0
"2024-01-19 14",0,0,0
"2024-01-19 15",0.0485,0,0
"2024-01-19 16",0.066,0.159,0
"2024-01-19 17",0.1311,0.2656,0
"2024-01-19 18",0.0896,0,0
"2024-01-19 19",0.1299,0,0
"2024-01-19 20",0.2177,0,0
"2024-01-19 21",0.3084,0,0
"2024-01-19 22",0.2797,0.1192,0
"2024-01-19 23",0.3946,0,0
"2024-01-20 0",0.4483,0.2719,0
"2024-01-20 1",0.3123,0.1183,0
"2024-01-20 4",0.2271,0.1516,0
"2024-01-20 5",0.201,0,0
"2024-01-20 6",0.3267,0,0
"2024-01-20 7",0.2002,0,0
"2024-01-20 8",0.0922,0,0
"2024-01-20 9",0.2328,0,0
"2024-01-20 10",0.0418,0,0
"2024-01-20 11",0.0357,0,0
"2024-01-20 12",0,0,0
"2024-01-20 13",0,0,0
"2024-01-20 14",0,0,0
"2024-01-20 15",0,0,0
"2024-01-20 16",0,0,0
"2024-01-20 17",0,0,0
"2024-01-20 18",0.065,0,0
"2024-01-20 19",0.1115,0,0
"2024-01-20 20",0.2716,0,0
"2024-01-20 23",0.3866,0,0
"2024-01-21 3",0.2094,0,0
"2024-01-21 4",0.1947,0,0
"2024-01-21 5",0.2265,0,0
"2024-01-21 6",0.247,0,0
"2024-01-21 7",0.3243,0.1425,0
"2024-01-21 8",0.4524,0,0
"2024-01-21 9",0.2787,0,0
"2024-01-21 10",0.0333,0.1193,0
"2024-01-21 11",0.1185,0,0
"2024-01-21 12",0.0728,0,0
"2024-01-21 13",0.0253,0,0
"2024-01-21 14",0.051,0,0
"2024-01-21 15",0,0,0
"2024-01-21 16",0,0,0
"2024-01-21 17",0.1155,0,0
"2024-01-21 18",0.2094,0,0
"2024-01-21 19",0.218,0,0
"2024-01-21 20",0.3618,0,0
"2024-01-21 21",0.2809,0,0
"2024-01-21 22",0.2592,0.1743,0
"2024-01-21 23",0.284,0,0
