Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2025-01-29 18",AN,AN,AN
"2025-01-29 19",AN,AN,AN
"2025-01-29 20",AN,AN,AN
"2025-01-29 21",AN,AN,AN
"2025-01-29 22",AN,AN,AN
"2025-01-29 23",AN,AN,AN
"2025-01-30 0",AN,AN,AN
"2025-01-30 1",AN,AN,AN
"2025-01-30 4",0.122,AS,AS
"2025-01-30 5",0.1139,AS,AS
"2025-01-30 6",0.1096,AS,AS
"2025-01-30 7",0.0967,AS,AS
"2025-01-30 8",0.1488,AS,AS
"2025-01-30 9",0.113,AS,AS
"2025-01-30 10",0.193,AS,AS
"2025-01-30 11",0.1939,AS,AS
"2025-01-30 12",0.1276,AS,AS
"2025-01-30 13",0.1293,AS,AS
"2025-01-30 14",0.1438,AS,AS
"2025-01-30 15",0.1474,AS,AS
"2025-01-30 16",0.1321,AS,AS
"2025-01-30 17",0.1779,AS,AS
"2025-01-30 18",0.1259,AS,AS
"2025-01-30 19",0.0951,AS,AS
"2025-01-30 20",0.1085,AS,AS
"2025-01-30 21",0.0918,AS,AS
"2025-01-30 22",0.0867,AS,AS
"2025-01-30 23",0.0948,AS,AS
"2025-01-31 2",0.0962,0.7631,1.4289
"2025-01-31 3",0.0889,0.7192,1.6271
"2025-01-31 4",0.0904,0.7255,1.669
"2025-01-31 5",0.1069,0.7899,1.6778
"2025-01-31 6",0.2125,0.8244,1.5009
"2025-01-31 7",0.1399,0.8673,1.1352
"2025-01-31 8",0.2412,0.934,1.1861
"2025-01-31 9",0.1437,0.8203,1.3355
"2025-01-31 10",0.1396,0.1618,1.3231
"2025-01-31 11",0.1516,0.2201,1.2619
"2025-01-31 12",0.1935,0.4427,1.348
