Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2025-01-12 21",0,0,0
"2025-01-12 22",0,0,0.005
"2025-01-12 23",0,0,0.0039
"2025-01-13 0",0,0,0
"2025-01-13 1",0,0.0061,0.0103
"2025-01-13 4",0,0.0568,0
"2025-01-13 5",0,0.0478,0.0186
"2025-01-13 6",0.0373,0,0
"2025-01-13 7",0,0,0.0111
"2025-01-13 8",0,0.0142,0.0052
"2025-01-13 9",0,0.0031,0
"2025-01-13 10",0,0.0181,0.0374
"2025-01-13 11",0,0,0.0173
"2025-01-13 12",0,0,0.0059
"2025-01-13 13",0,0,0
"2025-01-13 14",0,0.0083,0
"2025-01-13 15",0,0,0
"2025-01-13 16",0,0,0
"2025-01-13 17",0,0,0.1553
"2025-01-13 18",0,0,0
"2025-01-13 19",0,0.003,0
"2025-01-13 20",0,0.0052,0
"2025-01-13 21",0,0.0046,0
"2025-01-13 22",0,0,0.0459
"2025-01-13 23",0,0,0
"2025-01-14 2",0,0.0042,0
"2025-01-14 3",0,0.0634,0.0131
"2025-01-14 4",0,0,0.038
"2025-01-14 5",0,0.0323,0
"2025-01-14 6",0,0,0.0052
"2025-01-14 7",0.0315,0,0.0385
"2025-01-14 8",0,0.0208,0.0164
"2025-01-14 9",0,0.0124,0
"2025-01-14 10",0,0,0
"2025-01-14 11",0,0,0
"2025-01-14 12",0,0,0.0173
"2025-01-14 13",0,0.0081,0
"2025-01-14 14",0,0,0
"2025-01-14 15",0,0.0114,0
"2025-01-14 16",0,0,0.0111
"2025-01-14 17",0,0.01,0.0336
"2025-01-14 18",0,0,0.0387
"2025-01-14 19",0.029,0,0.0033
"2025-01-14 20",0,0,0
"2025-01-14 21",0,0,0.048
"2025-01-14 22",0,0.0031,0.0256
"2025-01-14 23",0,0,0
"2025-01-15 0",0,0,0
"2025-01-15 1",0,0,0.0227
"2025-01-15 4",0,0,0.0076
"2025-01-15 5",0,0.0242,0
"2025-01-15 6",0,0,0.0041
"2025-01-15 7",0,0.0142,0.0384
"2025-01-15 8",0,0.0256,0.0153
"2025-01-15 12",BA,BA,BA
"2025-01-15 13",0.1798,0.0741,0
"2025-01-15 14",0.094,0.0835,0.0131
"2025-01-15 15",0.0452,0.0745,0.0083
"2025-01-15 16",0.0343,0.0142,0.0219
"2025-01-15 17",0,0.0496,0.0741
"2025-01-15 18",0,0.0865,0.081
"2025-01-15 19",0,0.0957,0.0491
"2025-01-15 20",0.0786,0.0874,0.0767
"2025-01-15 21",0.0628,0.121,0.0723
"2025-01-15 22",0.0566,0.088,0.0066
"2025-01-15 23",0.0387,0.1009,0.0516
"2025-01-16 2",0,0.0586,0.014
"2025-01-16 3",0,0.0758,0.0293
"2025-01-16 4",0,0.1811,0.0496
"2025-01-16 5",0,0.0373,0.0219
"2025-01-16 6",0,0.0389,0.0033
"2025-01-16 7",0.0337,0.0708,0.0485
"2025-01-16 8",0.0782,0.1946,0.0074
"2025-01-16 9",0,0.0476,0
"2025-01-16 10",0,0.0633,0.0441
"2025-01-16 11",0.0415,0.0452,0.0057
"2025-01-16 12",0,0.0559,0.0472
"2025-01-16 13",0,0.0162,0.0079
"2025-01-16 14",0,0.0623,0
"2025-01-16 15",0,0.0323,0.0087
"2025-01-16 16",0,0.0426,0.0149
"2025-01-16 17",0,0.0326,0.0096
"2025-01-16 18",0,0.2392,0.0081
"2025-01-16 19",0,0.0504,0.0347
"2025-01-16 20",0.0898,0.2093,0.0865
"2025-01-16 21",0.1062,0.045,0.1
"2025-01-16 22",0.0742,0.0679,0.0963
"2025-01-16 23",0.0276,0.1155,0.0365
"2025-01-17 0",0,0.0195,0.0516
"2025-01-17 1",0,0.012,0.0053
"2025-01-17 4",0,0.0236,0
"2025-01-17 5",0,0.043,0.1009
"2025-01-17 6",0,0.0432,0.0472
"2025-01-17 7",0,0.057,0.0074
"2025-01-17 8",0,0.0859,0.0749
"2025-01-17 9",0,0.0361,0.0247
"2025-01-17 10",0,0.0065,0
"2025-01-17 11",0,0.0186,0
"2025-01-17 12",0,0.0671,0
"2025-01-17 13",0,0.0214,0.0745
"2025-01-17 14",0,0.0271,0.0695
"2025-01-17 15",0,0.014,0.0496
"2025-01-17 16",0,0.1798,0.017
"2025-01-17 17",0,0.0874,0.0149
"2025-01-17 18",0,0.0326,0.0421
"2025-01-17 19",0,0.1571,0.0166
"2025-01-17 20",0,0.0476,0.0682
"2025-01-17 21",0,0.0181,0.0262
"2025-01-17 22",0.0271,0.0472,0.0148
"2025-01-17 23",0,0.0284,0.0304
"2025-01-18 2",0,0.0207,0.0074
"2025-01-18 3",0,0.0026,0
"2025-01-18 4",0,0.0448,0.0077
"2025-01-18 5",0,0.0129,0
"2025-01-18 6",0,0.0035,0.0295
"2025-01-18 7",0,0.0044,0.019
"2025-01-18 8",0,0.0116,0.0122
"2025-01-18 9",0,0.0373,0.0415
"2025-01-18 10",0,0.0055,0.0725
"2025-01-18 11",0,0.0063,0.0531
"2025-01-18 12",0,0.0902,0
"2025-01-18 13",0,0.038,0
"2025-01-18 14",0,0.0527,0.0072
"2025-01-18 15",0,0.024,0.0692
"2025-01-18 16",0,0.0692,0.0057
"2025-01-18 17",0,0.0575,0.0537
"2025-01-18 18",0.0587,0.0312,0.0172
"2025-01-18 19",0,0.0271,0.0762
"2025-01-18 20",0,0.0162,0
"2025-01-18 23",0,0.0039,0.0439
"2025-01-19 0",0,0.0258,0.0111
"2025-01-19 1",0,0.0124,0.0376
"2025-01-19 5",0,0.0745,0
"2025-01-19 6",0,0.026,0
"2025-01-19 7",0,0.0301,0
"2025-01-19 8",0,0.0151,0.0094
"2025-01-19 9",0,0.019,0.0133
"2025-01-19 10",0,0.0389,0.0199
"2025-01-19 11",0,0.0162,0.0184
"2025-01-19 12",0,0.057,0.0575
"2025-01-19 13",0,0.0301,0.0131
"2025-01-19 14",0,0.0441,0.0113
"2025-01-19 15",0,0.0087,0.0124
"2025-01-19 16",0,0.0391,0.0114
"2025-01-19 17",0,0.0559,0.0758
"2025-01-19 18",0,0.0166,0
"2025-01-19 19",0.0316,0.0118,0.0229
"2025-01-19 20",0.1164,0.0599,0.026
"2025-01-19 21",0,0.0105,0.0207
"2025-01-19 22",0,0.0053,0.0334
"2025-01-19 23",0,0,0.0692
"2025-01-20 2",0,0.0044,0
"2025-01-20 3",0,0.0136,0
"2025-01-20 4",0,0.0262,0
"2025-01-20 5",0,0.0459,0.0288
"2025-01-20 6",0,0,0.0011
"2025-01-20 7",0,0.005,0.0452
"2025-01-20 8",0,0.0107,0.0142
"2025-01-20 9",0,0.0155,0
"2025-01-20 10",0,0.0266,0.0229
"2025-01-20 11",0,0.009,0.0201
"2025-01-20 12",0,0.0098,0
"2025-01-20 13",0,0.0998,0.0195
"2025-01-20 14",0,0.0122,0.0129
"2025-01-20 15",0,0.0055,0.0166
"2025-01-20 16",0,0.0055,0
"2025-01-20 17",0,0.0031,0.0168
"2025-01-20 18",0,0,0.0251
"2025-01-20 19",0,0.019,0.0142
"2025-01-20 20",0,0.0065,0.0439
"2025-01-20 21",0,0.0096,0
"2025-01-20 22",0,0,0
"2025-01-20 23",0,0.0052,0
"2025-01-21 0",0,0.0432,0
"2025-01-21 1",0,0,0.0037
"2025-01-21 4",0,0.0232,0
"2025-01-21 5",0,0,0
"2025-01-21 6",0,0.0055,0
"2025-01-21 7",0,0.0052,0
"2025-01-21 8",0,0,0.005
"2025-01-21 9",0,0.0039,0
"2025-01-21 10",0,0.0738,0.0151
"2025-01-21 11",0,0.003,0
"2025-01-21 12",0,0.0157,0
