Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2025-02-21 14",0.0172,0.2583,2.6722
"2025-02-21 15",0.0245,0.1535,2.9418
"2025-02-21 16",0.0318,0.1686,3.3466
"2025-02-21 17",0.0344,0.1463,3.6139
"2025-02-21 18",0.0902,0.1667,3.379
"2025-02-21 19",0.1632,0.2919,3.0128
"2025-02-21 20",0.3313,0.3087,2.0925
"2025-02-21 21",0.5866,0.3514,1.9583
"2025-02-21 22",0.9219,0.3484,1.2755
"2025-02-21 23",0.9312,0.3542,1.0171
"2025-02-22 2",0.804,0.3258,0.8797
"2025-02-22 3",0.3807,0.318,0.5472
"2025-02-22 4",0.2967,0.2958,0.7213
"2025-02-22 5",0.3222,0.3126,0.603
"2025-02-22 6",0.3525,0.3416,0.669
"2025-02-22 7",0.429,0.3217,0.4103
"2025-02-22 8",0.4563,0.3035,0.4984
"2025-02-22 9",0.0807,0.2431,1.4198
"2025-02-22 10",0.0657,0.2383,2.1357
"2025-02-22 11",0.0431,0.2251,2.6801
"2025-02-22 12",0.02,0.2062,3.2513
"2025-02-22 13",0.0305,0.2922,3.3045
"2025-02-22 14",0.0131,0.2169,3.4884
"2025-02-22 15",0.0336,0.2043,3.2974
"2025-02-22 16",0.0489,0.2596,3.412
"2025-02-22 17",0.0491,0.2705,3.4823
"2025-02-22 18",0.0382,0.2449,3.4291
"2025-02-22 19",0.1321,0.2739,2.8396
"2025-02-22 20",0.413,0.3486,1.9195
"2025-02-22 23",0.4618,0.3045,1.6108
"2025-02-23 0",0.9913,0.3894,1.1164
"2025-02-23 1",0.8078,0.3833,1.025
"2025-02-23 5",0.0854,0.2498,1.1973
"2025-02-23 6",0.0621,0.1884,1.8012
"2025-02-23 7",0.0756,0.2538,2.1211
"2025-02-23 8",0.0823,0.1877,1.9167
"2025-02-23 9",0.0409,0.1593,2.7271
"2025-02-23 10",0.0271,0.2952,2.4905
"2025-02-23 11",0.0423,0.2863,2.5507
"2025-02-23 12",0.051,0.2446,2.6597
"2025-02-23 13",0.0473,0.2262,3.1871
"2025-02-23 14",0.0269,0.2381,2.8938
"2025-02-23 15",0.0243,0.2132,2.9225
"2025-02-23 16",0.0218,0.2181,2.8498
"2025-02-23 17",0.0581,0.2438,2.7246
"2025-02-23 18",0.1266,0.2711,2.2724
"2025-02-23 19",0.1222,0.2948,2.2793
"2025-02-23 20",0.0494,0.1967,1.6618
"2025-02-23 21",0.0643,0.2084,1.9599
"2025-02-23 22",0.0269,0.2342,2.0807
"2025-02-23 23",0.0738,0.2283,1.9225
"2025-02-24 2",0.1068,0.3035,1.3579
"2025-02-24 3",0.1294,0.3443,0.9657
"2025-02-24 4",0.2097,0.259,1.0807
"2025-02-24 5",0.143,0.3063,0.9841
"2025-02-24 6",0.236,0.3173,0.786
"2025-02-24 7",0.1926,0.2761,0.6366
"2025-02-24 8",0.1863,0.2874,0.9032
"2025-02-24 9",0.0682,0.3328,0.9179
"2025-02-24 10",0.0941,0.3302,1.1337
"2025-02-24 11",0.1121,0.4278,1.1215
"2025-02-24 12",0.0597,0.1995,1.6751
"2025-02-24 13",0.0275,0.1997,1.7478
"2025-02-24 14",0.0502,0.1721,1.9681
"2025-02-24 15",0.0754,0.2125,1.8522
"2025-02-24 16",0.053,0.1938,1.9006
"2025-02-24 17",0.0682,0.1854,1.7335
"2025-02-24 18",0.0742,0.211,1.5207
"2025-02-24 19",0.0651,0.2017,1.5131
"2025-02-24 20",0.0777,0.2236,1.5301
"2025-02-24 21",0.0287,0.1806,1.3998
"2025-02-24 22",0.0204,0.1617,1.3226
"2025-02-24 23",0.0216,0.2722,1.2577
"2025-02-25 2",0.0293,0.1335,1.2844
"2025-02-25 3",0.0394,0.1661,1.1011
"2025-02-25 4",0.0694,0.2596,0.9205
"2025-02-25 5",0.086,0.316,0.8643
"2025-02-25 6",0.0465,0.229,0.7795
"2025-02-25 7",0.0303,0.1291,0.7808
"2025-02-25 8",0.0398,0.1912,0.8889
"2025-02-25 9",0.0338,0.1858,0.8229
"2025-02-25 10",0.0231,0.1383,0.9696
"2025-02-25 11",0,0.1693,0.9993
"2025-02-25 12",0,0.2685,1.0076
"2025-02-25 13",0,0.2707,1.0141
"2025-02-25 14",0.0182,0.1409,0.9661
"2025-02-25 15",0,0.1509,0.9412
"2025-02-25 16",0,0.1469,0.9638
"2025-02-25 17",0.0259,0.1517,0.895
"2025-02-25 18",0.0483,0.2314,0.8483
"2025-02-25 19",0.0676,0.2019,0.8808
"2025-02-25 20",0.073,0.2403,0.8737
"2025-02-25 21",0.2727,0.3807,0.829
"2025-02-25 22",0.2838,0.3688,0.6664
"2025-02-25 23",0.0936,0.2205,0.583
"2025-02-26 0",0.1084,0.2731,0.6256
"2025-02-26 1",0.2779,0.3288,0.6136
"2025-02-26 4",0.3093,0.2844,0.7428
"2025-02-26 5",0.3287,0.2841,0.4916
"2025-02-26 6",0.8208,0.3581,0.5374
"2025-02-26 7",1.5597,0.4192,0.5659
"2025-02-26 8",0.8085,0.4827,0.4241
"2025-02-26 9",0.1683,0.59,0.4654
"2025-02-26 10",0.0352,0.1535,0.4799
"2025-02-26 11",0.0216,0.1593,0.4945
"2025-02-26 12",0.0267,0.1237,0.5008
"2025-02-26 13",0.0121,0.1919,0.5541
"2025-02-26 14",0.0229,0.1634,0.5364
"2025-02-26 15",0,0.1456,0.5759
"2025-02-26 16",0.0095,0.1294,0.5719
"2025-02-26 17",0,0.1496,0.6609
"2025-02-26 18",0.0223,0.1589,0.4732
"2025-02-26 19",0.0763,0.1782,0.4511
"2025-02-26 20",0.1102,0.2305,0.5561
"2025-02-26 21",0.1988,0.2774,0.4871
"2025-02-26 22",0.3457,0.2987,0.5405
"2025-02-26 23",0.3999,0.2691,0.5257
"2025-02-27 2",0.3394,0.2639,0.5902
"2025-02-27 3",0.2077,0.3136,0.3831
"2025-02-27 4",0.3127,0.2906,0.3925
"2025-02-27 5",0.254,0.2403,0.3011
"2025-02-27 6",0.6592,0.2885,0.4702
"2025-02-27 7",0.7771,0.3314,0.4109
"2025-02-27 8",0.286,0.3302,0.3664
"2025-02-27 9",0.0653,0.283,0.3462
"2025-02-27 10",0.0265,0.1975,0.3953
"2025-02-27 11",0.0328,0.1767,0.3697
"2025-02-27 12",0.0222,0.2481,0.4078
"2025-02-27 13",0.0475,0.2392,0.4454
"2025-02-27 14",0.0459,0.27,0.4361
"2025-02-27 15",0.0518,0.3929,0.5693
"2025-02-27 16",0.0255,0.2455,0.5472
"2025-02-27 17",0.0136,0.2524,0.471
