,NOAA_Species_Name,UDAQ_Species_Name,Calibration_Equation,RMSE_Original,RMSE_Calibrated,RMSE_Improvement
46,o_Xylene_WAS,oXylene,Calibration equation: O_hat = -0.0030 + 0.6808 * M,0.030613834450393465,0.019948402068225235,34.83860344071062
47,x135_TriMethylBenzene_WAS,x135_Trimethylbenzene,Calibration equation: O_hat = 0.0064 + 1.5694 * M,0.012032891779115328,0.011995209033340443,0.3131645033182183
48,x124_TriMethylBenzene_WAS,x124_Trimethylbenzene,Calibration equation: O_hat = -0.0001 + 0.5298 * M,0.022420800755864525,0.010884801951513699,51.45221586848721
49,nPropylBenzene_WAS,nPropylbenzene,Calibration equation: O_hat = 0.0039 + 0.1077 * M,0.008001401375301942,0.003540741863200854,55.74847833368138
50,iPropylBenzene_WAS,Isopropylbenzene,Calibration equation: O_hat = 0.0021 + -0.0053 * M,0.0038326273309656025,0.0016448093102532976,57.08402700768457
51,x2_EthylToluene_WAS,oEthyltoluene,Calibration equation: O_hat = 0.0032 + 0.0917 * M,0.013292313935357429,0.0028627491074608097,78.46312446890134
52,x3_x4_EthylToluene_WAS,mpEthyltoluene,Calibration equation: O_hat = 0.0062 + 0.3006 * M,0.030454339133473344,0.009650024248878111,68.31313854296889
53,ML_NoVar_54,mDiethylbenzene,,,,
54,ML_NoVar_55,pDiethylbenzene,,,,
55,Styrene_PTR,Styrene,,,,
56,x123_TriMethylBenzene_WAS,x123_Trimethylbenzene,Calibration equation: O_hat = 0.0031 + 0.0278 * M,0.010235063159815205,0.0025599260428668456,74.98866393988071
