time_local,time_UTC,nDodecane,Ethane,Ethylene,Propane,Propylene,Acetylene,nButane,Isobutane,trans2Butene,cis2Butene,buta13diene,nPentane,Isopentane,Pent1ene,trans2Pentene,cis2Pentene,x3_Methylpentane,nHexane,nHeptane,nOctane,nNonane,nDecane,Cyclopentane,Isoprene,x22_Dimethylbutane,Hex1ene,x24_Dimethylpentane,Cyclohexane,x3_Methylhexane,x224_Trimethylpentane,x234_Trimethylpentane,x3_Methylheptane,Methylcyclohexane,Methylcyclopentane,x2_Methylhexane,But1ene,x23_Dimethylbutane,x2_Methylpentane,x23_Dimethylpentane,Formaldehyde,nUndecane,x2_Methylheptane,mpXylene,Benzene,Toluene,Ethylbenzene,oXylene,x135_Trimethylbenzene,x124_Trimethylbenzene,nPropylbenzene,Isopropylbenzene,oEthyltoluene,mEthyltoluene,pEthyltoluene,mDiethylbenzene,pDiethylbenzene,Styrene,x123_Trimethylbenzene
2024-07-15 04:00:00-06:00,2024-07-15 10:00:00+00:00,,2.86485,0.63385,1.1797333333333333,0.33899999999999997,0.25965,0.714525,0.319225,0.01075,0.0,0.080425,0.5873,0.74778,0.09040000000000001,0.10289999999999999,0.056299999999999996,0.125,0.23043333333333335,0.08154285714285714,0.0319875,,,0.03914,0.0739,0.0116,0.03381666666666667,0.05277142857142857,0.033,0.0774,0.0861625,0.0555,0.03375,0.03728571428571429,0.09943333333333333,0.06802857142857142,0.05935,0.05973333333333333,0.21448333333333333,0.07515714285714285,,,,,0.2083,0.7794857142857143,,,,,,,,,,,,,
2024-07-15 04:15:00-06:00,2024-07-15 10:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 04:30:00-06:00,2024-07-15 10:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 04:45:00-06:00,2024-07-15 10:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 05:00:00-06:00,2024-07-15 11:00:00+00:00,,2.5327,0.5849,1.1679333333333333,0.3375333333333333,0.1656,0.717125,0.2951,0.01405,0.0,0.081525,0.58754,0.78496,0.08458,0.133,0.06682,0.13845,0.24985000000000002,0.08819999999999999,0.035425,,,0.044879999999999996,0.05904,0.0,0.024333333333333332,0.05995714285714286,0.03886666666666667,0.029428571428571425,0.0753625,0.0607875,0.012325,0.03994285714285715,0.1297,0.0788857142857143,0.0508,0.06696666666666666,0.23231666666666664,0.08291428571428572,,,,,0.25,0.9579142857142857,,,,,,,,,,,,,
2024-07-15 05:15:00-06:00,2024-07-15 11:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 05:30:00-06:00,2024-07-15 11:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 05:45:00-06:00,2024-07-15 11:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 06:00:00-06:00,2024-07-15 12:00:00+00:00,,2.8508,0.83355,1.0613333333333335,0.38693333333333335,0.28005,0.63425,0.303725,0.01185,0.0,0.079075,0.49606000000000006,0.665,0.07393999999999999,0.09796,0.04854,0.11761666666666666,0.23096666666666665,0.077,0.0330875,,,0.035460000000000005,0.07176,0.0098,0.020716666666666664,0.05267142857142858,0.019316666666666666,0.07607142857142857,0.0743625,0.0520625,0.0143,0.03372857142857143,0.11155,0.07277142857142857,0.064575,0.055266666666666665,0.20145000000000002,0.026257142857142857,,,,,0.22305,0.7849857142857143,,,,,,,,,,,,,
2024-07-15 06:15:00-06:00,2024-07-15 12:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 06:30:00-06:00,2024-07-15 12:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 06:45:00-06:00,2024-07-15 12:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 07:00:00-06:00,2024-07-15 13:00:00+00:00,,3.033,1.05495,1.3337333333333332,0.39209999999999995,0.2438,0.702675,0.325675,0.010325,0.011,0.017625,0.49848,0.72744,0.05878,0.04724,0.026119999999999997,0.12505,0.17665,0.06905714285714286,0.0314,,,0.03616,0.19382,0.015233333333333333,0.022133333333333335,0.049300000000000004,0.0,0.028242857142857142,0.1150375,0.0552125,0.0,0.031214285714285715,0.08911666666666666,0.032542857142857144,0.0689,0.06465,0.20735,0.0747,,,,,0.20191666666666666,0.6025857142857143,,,,,,,,,,,,,
2024-07-15 07:15:00-06:00,2024-07-15 13:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 07:30:00-06:00,2024-07-15 13:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 07:45:00-06:00,2024-07-15 13:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 08:00:00-06:00,2024-07-15 14:00:00+00:00,,2.93615,1.1478,1.1649666666666667,0.4078,0.30845,0.6944,0.38465,0.010275,0.01075,0.018875,0.57912,0.85076,0.06568,0.06568,0.033960000000000004,0.15476666666666666,0.22283333333333333,0.09358571428571429,0.0373375,,,0.03882,0.45974000000000004,0.023133333333333336,0.027716666666666667,0.0564,0.0494,0.09687142857142858,0.1458375,0.0605375,0.0245875,0.0396,0.12215,0.0881,0.07125,0.07796666666666667,0.26005,0.08331428571428572,,,,,0.25201666666666667,0.7322,,,,,,,,,,,,,
2024-07-15 08:15:00-06:00,2024-07-15 14:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 08:30:00-06:00,2024-07-15 14:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 08:45:00-06:00,2024-07-15 14:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 09:00:00-06:00,2024-07-15 15:00:00+00:00,,2.275,0.7767,1.0004333333333333,0.2593666666666667,0.2178,0.5558,0.270175,0.0095,0.0,0.058375,0.36572,0.56612,0.0438,0.03362,0.01718,0.08701666666666667,0.12306666666666666,0.05121428571428571,0.0178625,,,0.02238,0.26705999999999996,0.011999999999999999,0.019183333333333333,0.0,0.0,0.0507,0.07825,0.0420875,0.0,0.012614285714285715,0.04741666666666666,0.0454,0.046475,0.04136666666666667,0.14463333333333334,0.05121428571428571,,,,,0.15171666666666667,0.4546428571428572,,,,,,,,,,,,,
2024-07-15 09:15:00-06:00,2024-07-15 15:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 09:30:00-06:00,2024-07-15 15:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 09:45:00-06:00,2024-07-15 15:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 10:00:00-06:00,2024-07-15 16:00:00+00:00,,2.6639,0.80425,1.4260333333333335,0.25220000000000004,0.24475,0.738525,0.3992,0.0,0.0,0.078775,0.48048,0.6752,0.04822,0.037540000000000004,0.01598,0.10786666666666667,0.17411666666666667,0.06244285714285714,0.0310875,,,0.0258,0.1022,0.013783333333333333,0.027033333333333336,0.02347142857142857,0.0,0.060085714285714284,0.0623875,0.0186375,0.020475,0.02217142857142857,0.07885,0.049757142857142854,0.046875,0.0444,0.17245,0.049557142857142855,,,,,0.18038333333333334,0.4868,,,,,,,,,,,,,
2024-07-15 10:15:00-06:00,2024-07-15 16:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 10:30:00-06:00,2024-07-15 16:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 10:45:00-06:00,2024-07-15 16:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 11:00:00-06:00,2024-07-15 17:00:00+00:00,,2.6176,0.74215,1.4833666666666667,0.1925,0.2748,0.6166,0.31455,0.0,0.0,0.085275,0.43987999999999994,0.60488,0.04224,0.01974,0.00804,0.09866666666666667,0.15983333333333333,0.059757142857142856,0.0163625,,,0.01892,0.06183999999999999,0.013116666666666667,0.018266666666666667,0.0,0.0,0.05564285714285715,0.02485,0.0306125,0.0,0.0171,0.025483333333333334,0.04544285714285714,0.03885,0.03518333333333334,0.15076666666666666,0.041185714285714284,,,,,0.1592,0.40632857142857143,,,,,,,,,,,,,
2024-07-15 11:15:00-06:00,2024-07-15 17:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 11:30:00-06:00,2024-07-15 17:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 11:45:00-06:00,2024-07-15 17:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 12:00:00-06:00,2024-07-15 18:00:00+00:00,,2.84485,0.6553,2.5161333333333333,0.22956666666666667,0.21985,1.80065,0.788225,0.0,0.0,0.06545,1.1934799999999999,1.9643599999999999,0.06418,0.04178,0.02126,0.2349,0.4861,0.151,0.0645125,,,0.0685,0.1479,0.037816666666666665,0.029616666666666666,0.10957142857142857,0.10108333333333334,0.12321428571428572,0.1369875,0.0488125,0.014275,0.09999999999999999,0.16213333333333332,0.09277142857142857,0.0471,0.12125000000000001,0.4129833333333333,0.12252857142857143,,,,,0.21061666666666667,0.5169142857142857,,,,,,,,,,,,,
2024-07-15 12:15:00-06:00,2024-07-15 18:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 12:30:00-06:00,2024-07-15 18:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 12:45:00-06:00,2024-07-15 18:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 13:00:00-06:00,2024-07-15 19:00:00+00:00,,1.87235,0.402,1.1111333333333333,0.14833333333333334,0.13135,1.090625,0.817575,0.012,0.0,0.0527,0.7982400000000001,1.19164,0.05474,0.032979999999999995,0.019639999999999998,0.13843333333333332,0.23851666666666668,0.05715714285714286,0.0196125,,,0.04316,0.16255999999999998,0.0168,0.030516666666666668,0.04158571428571429,0.03791666666666667,0.0091,0.0381625,0.02355,0.0,0.03257142857142857,0.08276666666666667,0.0438,0.04165,0.06441666666666666,0.246,0.04745714285714286,,,,,0.13094999999999998,0.31247142857142857,,,,,,,,,,,,,
2024-07-15 13:15:00-06:00,2024-07-15 19:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 13:30:00-06:00,2024-07-15 19:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 13:45:00-06:00,2024-07-15 19:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 14:00:00-06:00,2024-07-15 20:00:00+00:00,,1.69165,0.3706,0.7888999999999999,0.16390000000000002,0.1263,1.174375,0.38165,0.01785,0.0,0.050575,1.09518,1.52132,0.06594,0.0484,0.02344,0.1828,0.31836666666666663,0.07892857142857143,0.020575,,,0.06163999999999999,0.18660000000000002,0.020133333333333333,0.0237,0.03287142857142857,0.04618333333333333,0.057857142857142864,0.043,0.0,0.0,0.024585714285714287,0.18818333333333334,0.05537142857142857,0.043125,0.07865,0.3278166666666667,0.047485714285714284,,,,,0.17354999999999998,0.4128,,,,,,,,,,,,,
2024-07-15 14:15:00-06:00,2024-07-15 20:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 14:30:00-06:00,2024-07-15 20:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 14:45:00-06:00,2024-07-15 20:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 15:00:00-06:00,2024-07-15 21:00:00+00:00,,1.48355,0.3101,0.5321333333333333,0.13983333333333334,0.1125,0.695475,0.223675,0.01235,0.0,0.05545,0.6079600000000001,0.9211199999999999,0.05012,0.028339999999999997,0.01576,0.10841666666666666,0.17951666666666666,0.041557142857142855,0.0,,,0.030780000000000002,0.17509999999999998,0.013133333333333332,0.017916666666666668,0.0,0.0,0.03905714285714285,0.02105,0.0175375,0.0,0.0,0.0723,0.03324285714285714,0.039675,0.04699999999999999,0.1880666666666667,0.0,,,,,0.09749999999999999,0.22432857142857143,,,,,,,,,,,,,
2024-07-15 15:15:00-06:00,2024-07-15 21:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 15:30:00-06:00,2024-07-15 21:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 15:45:00-06:00,2024-07-15 21:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 16:00:00-06:00,2024-07-15 22:00:00+00:00,,1.31435,0.28955,0.42369999999999997,0.13903333333333334,0.0779,0.500975,0.1981,0.0,0.0,0.050475,0.48868,0.68974,0.046060000000000004,0.0354,0.016120000000000002,0.0912,0.1419,0.019471428571428574,0.0,,,0.027960000000000002,0.14728000000000002,0.0091,0.016916666666666667,0.0,0.0,0.03175714285714286,0.0157875,0.0,0.0,0.0,0.048350000000000004,0.028714285714285716,0.03885,0.03818333333333333,0.15838333333333335,0.0,,,,,0.07855,0.21452857142857143,,,,,,,,,,,,,
2024-07-15 16:15:00-06:00,2024-07-15 22:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
