dt,Mobile Lab O3,UDAQ O3,merged_ozone,8hr_rolling_avg_Mobile Lab O3,MDA8_O3_Mobile Lab O3,Exceedance_day_Mobile Lab O3,8hr_rolling_avg_UDAQ O3,MDA8_O3_UDAQ O3,Exceedance_day_UDAQ O3,8hr_rolling_avg_merged_ozone,MDA8_O3_merged_ozone,Exceedance_day_merged_ozone
2024-08-03 13:00:00,53.21818609961468,53.0,53.21818609961468,,63.847176774167686,False,49.75,60.0,False,50.47005447683551,63.847176774167686,False
2024-08-03 14:00:00,54.85590482385179,54.0,54.85590482385179,,63.847176774167686,False,52.25,60.0,False,53.04207035759476,63.847176774167686,False
2024-08-03 15:00:00,57.78044444444444,55.0,57.78044444444444,,63.847176774167686,False,53.875,60.0,False,54.49227050643778,63.847176774167686,False
2024-08-03 16:00:00,63.01172222222222,60.0,63.01172222222222,,63.847176774167686,False,56.25,60.0,False,57.10828219876664,63.847176774167686,False
2024-08-03 17:00:00,64.29894444444444,61.0,64.29894444444444,,63.847176774167686,False,57.75,60.0,False,59.02065025432219,63.847176774167686,False
2024-08-03 18:00:00,64.51659752320542,60.0,64.51659752320542,59.6136332596305,63.847176774167686,False,57.625,60.0,False,59.460224944722874,63.847176774167686,False
2024-08-03 19:00:00,52.689055555555555,50.0,52.689055555555555,58.62440787333407,63.847176774167686,False,56.125,60.0,False,58.29635688916731,63.847176774167686,False
2024-08-03 20:00:00,51.12005555555555,50.0,51.12005555555555,57.686363833611765,63.847176774167686,False,55.375,60.0,False,57.686363833611765,63.847176774167686,False
2024-08-03 21:00:00,52.009499999999996,50.0,52.009499999999996,57.53527807115992,63.847176774167686,False,55.0,60.0,False,57.53527807115992,63.847176774167686,False
2024-08-03 22:00:00,48.95266666666666,47.0,48.95266666666666,56.79737330151179,63.847176774167686,False,54.125,60.0,False,56.79737330151179,63.847176774167686,False
2024-08-03 23:00:00,47.843888888888884,47.0,47.843888888888884,55.555303857067344,63.847176774167686,False,53.125,60.0,False,55.555303857067344,63.847176774167686,False
2024-08-04 00:00:00,44.42877777777778,42.0,44.42877777777778,53.23243580151179,60.54815989250434,False,50.875,58.5,False,53.23243580151179,60.54815989250434,False
2024-08-04 01:00:00,41.1165,40.0,41.1165,50.334630245956234,60.54815989250434,False,48.25,58.5,False,50.334630245956234,60.54815989250434,False
2024-08-04 02:00:00,39.72966666666667,41.0,39.72966666666667,47.236263888888885,60.54815989250434,False,45.875,58.5,False,47.236263888888885,60.54815989250434,False
2024-08-04 03:00:00,41.037055555555554,39.0,41.037055555555554,45.77976388888888,60.54815989250434,False,44.5,58.5,False,45.77976388888888,60.54815989250434,False
2024-08-04 04:00:00,39.441,36.0,39.441,44.31988194444445,60.54815989250434,False,42.75,58.5,False,44.31988194444445,60.54815989250434,False
2024-08-04 05:00:00,30.112111111111112,28.0,30.112111111111112,41.582708333333336,60.54815989250434,False,40.0,58.5,False,41.582708333333336,60.54815989250434,False
2024-08-04 06:00:00,29.38988888888889,27.0,29.38988888888889,39.13736111111111,60.54815989250434,False,37.5,58.5,False,39.13736111111111,60.54815989250434,False
2024-08-04 07:00:00,29.171666666666667,28.0,29.171666666666667,36.803333333333335,60.54815989250434,False,35.125,58.5,False,36.803333333333335,60.54815989250434,False
2024-08-04 08:00:00,30.594055555555556,31.0,30.594055555555556,35.073993055555555,60.54815989250434,False,33.75,58.5,False,35.073993055555555,60.54815989250434,False
2024-08-04 09:00:00,43.38111111111111,43.0,43.38111111111111,35.35706944444445,60.54815989250434,False,34.125,58.5,False,35.35706944444445,60.54815989250434,False
2024-08-04 10:00:00,49.33855555555556,49.0,49.33855555555556,36.55818055555556,60.54815989250434,False,35.125,58.5,False,36.55818055555556,60.54815989250434,False
2024-08-04 11:00:00,54.551833333333335,54.0,54.551833333333335,38.247527777777776,60.54815989250434,False,37.0,58.5,False,38.247527777777776,60.54815989250434,False
2024-08-04 12:00:00,56.0967655619493,55.0,56.0967655619493,40.32949847302144,60.54815989250434,False,39.375,58.5,False,40.32949847302144,60.54815989250434,False
2024-08-04 13:00:00,58.65664332004907,58.0,58.65664332004907,43.89756499913869,60.54815989250434,False,43.125,58.5,False,43.89756499913869,60.54815989250434,False
2024-08-04 14:00:00,64.51366666666667,63.0,64.51366666666667,48.28803722136091,60.54815989250434,False,47.625,58.5,False,48.28803722136091,60.54815989250434,False
2024-08-04 15:00:00,67.63822222222223,65.0,67.63822222222223,53.09635666580535,60.54815989250434,False,52.25,58.5,False,53.09635666580535,60.54815989250434,False
2024-08-04 16:00:00,63.37794444444444,60.0,63.37794444444444,57.194342776916464,60.54815989250434,False,55.875,58.5,False,57.194342776916464,60.54815989250434,False
2024-08-04 17:00:00,61.72372222222222,58.0,61.72372222222222,59.487169165805355,60.54815989250434,False,57.75,58.5,False,59.487169165805355,60.54815989250434,False
2024-08-04 18:00:00,57.826481369147444,55.0,57.826481369147444,60.54815989250434,60.54815989250434,False,58.5,58.5,False,60.54815989250434,60.54815989250434,False
2024-08-04 19:00:00,54.516555555555556,52.0,54.516555555555556,60.54375017028212,60.54815989250434,False,58.25,58.5,False,60.54375017028212,60.54815989250434,False
2024-08-04 20:00:00,47.72255555555556,44.0,47.72255555555556,59.4969739194829,60.54815989250434,False,56.875,58.5,False,59.4969739194829,60.54815989250434,False
2024-08-04 21:00:00,43.21861111111111,43.0,43.21861111111111,57.56721989336565,60.54815989250434,False,55.0,58.5,False,57.56721989336565,60.54815989250434,False
2024-08-04 22:00:00,45.78438888888889,45.0,45.78438888888889,55.22606017114343,60.54815989250434,False,52.75,58.5,False,55.22606017114343,60.54815989250434,False
2024-08-04 23:00:00,45.80677777777778,45.0,45.80677777777778,52.49712961558787,60.54815989250434,False,50.25,58.5,False,52.49712961558787,60.54815989250434,False
2024-08-05 00:00:00,45.72011111111111,45.0,45.72011111111111,50.28990044892121,63.72123199746321,False,48.375,62.5,False,50.28990044892121,63.72123199746321,False
2024-08-05 01:00:00,45.49088888888889,44.0,45.49088888888889,48.260796282254546,63.72123199746321,False,46.625,62.5,False,48.260796282254546,63.72123199746321,False
2024-08-05 02:00:00,46.146,43.0,46.146,46.800736111111114,63.72123199746321,False,45.125,62.5,False,46.800736111111114,63.72123199746321,False
2024-08-05 03:00:00,33.2155,33.0,33.2155,44.138104166666665,63.72123199746321,False,42.75,62.5,False,44.138104166666665,63.72123199746321,False
2024-08-05 04:00:00,37.84666666666667,36.0,37.84666666666667,42.903618055555555,63.72123199746321,False,41.75,62.5,False,42.903618055555555,63.72123199746321,False
2024-08-05 05:00:00,42.85905555555556,44.0,42.85905555555556,42.858673611111115,63.72123199746321,False,41.875,62.5,False,42.858673611111115,63.72123199746321,False
2024-08-05 06:00:00,45.662055555555554,43.0,45.662055555555554,42.843381944444445,63.72123199746321,False,41.625,62.5,False,42.843381944444445,63.72123199746321,False
2024-08-05 07:00:00,19.453888888888887,13.0,19.453888888888887,39.54927083333334,63.72123199746321,False,37.625,62.5,False,39.54927083333334,63.72123199746321,False
2024-08-05 08:00:00,23.684777777777775,26.0,23.684777777777775,36.79485416666667,63.72123199746321,False,35.25,62.5,False,36.79485416666667,63.72123199746321,False
2024-08-05 09:00:00,37.09766666666667,36.0,37.09766666666667,35.74570138888889,63.72123199746321,False,34.25,62.5,False,35.74570138888889,63.72123199746321,False
2024-08-05 10:00:00,45.69083333333333,48.0,45.69083333333333,35.688805555555554,63.72123199746321,False,34.875,62.5,False,35.688805555555554,63.72123199746321,False
2024-08-05 11:00:00,59.44627777777778,60.0,59.44627777777778,38.96765277777778,63.72123199746321,False,38.25,62.5,False,38.96765277777778,63.72123199746321,False
2024-08-05 12:00:00,66.24477777777778,67.0,66.24477777777778,42.51741666666667,63.72123199746321,False,42.125,62.5,False,42.51741666666667,63.72123199746321,False
2024-08-05 13:00:00,65.48011111111111,62.0,65.48011111111111,45.34504861111111,63.72123199746321,False,44.375,62.5,False,45.34504861111111,63.72123199746321,False
2024-08-05 14:00:00,65.50361111111111,63.0,65.50361111111111,47.82524305555556,63.72123199746321,False,46.875,62.5,False,47.82524305555556,63.72123199746321,False
2024-08-05 15:00:00,63.35116666666667,63.0,63.35116666666667,53.31240277777778,63.72123199746321,False,53.125,62.5,False,53.31240277777778,63.72123199746321,False
2024-08-05 16:00:00,64.15944444444445,62.0,64.15944444444445,58.37173611111112,63.72123199746321,False,57.625,62.5,False,58.37173611111112,63.72123199746321,False
2024-08-05 17:00:00,61.453222222222216,61.0,61.453222222222216,61.41618055555556,63.72123199746321,False,60.75,62.5,False,61.41618055555556,63.72123199746321,False
2024-08-05 18:00:00,64.13124486859458,62.0,64.13124486859458,63.72123199746321,63.72123199746321,False,62.5,62.5,False,63.72123199746321,63.72123199746321,False
2024-08-05 19:00:00,58.02177777777778,57.0,58.02177777777778,63.54316949746321,63.72123199746321,False,62.125,62.5,False,63.54316949746321,63.72123199746321,False
2024-08-05 20:00:00,55.67483333333333,53.0,55.67483333333333,62.221926441907655,63.72123199746321,False,60.375,62.5,False,62.221926441907655,63.72123199746321,False
2024-08-05 21:00:00,51.24305555555556,50.0,51.24305555555556,60.442294497463216,63.72123199746321,False,58.875,62.5,False,60.442294497463216,63.72123199746321,False
2024-08-05 22:00:00,50.608222222222224,50.0,50.608222222222224,58.5803708863521,63.72123199746321,False,57.25,62.5,False,58.5803708863521,63.72123199746321,False
2024-08-05 23:00:00,50.30027777777778,50.0,50.30027777777778,56.94900977524099,63.72123199746321,False,55.625,62.5,False,56.94900977524099,63.72123199746321,False
2024-08-06 00:00:00,50.22405555555555,50.0,50.22405555555555,55.207086164129876,64.76289351265855,False,54.125,63.125,False,55.207086164129876,64.76289351265855,False
2024-08-06 01:00:00,49.304722222222225,49.0,49.304722222222225,53.688523664129875,64.76289351265855,False,52.625,63.125,False,53.688523664129875,64.76289351265855,False
2024-08-06 02:00:00,44.59305555555555,43.0,44.59305555555555,51.24625,64.76289351265855,False,50.25,63.125,False,51.24625,64.76289351265855,False
2024-08-06 03:00:00,37.45872222222222,37.0,37.45872222222222,48.675868055555554,64.76289351265855,False,47.75,63.125,False,48.675868055555554,64.76289351265855,False
2024-08-06 04:00:00,44.44588888888889,44.0,44.44588888888889,47.27225,64.76289351265855,False,46.625,63.125,False,47.27225,64.76289351265855,False
2024-08-06 05:00:00,43.74805555555555,43.0,43.74805555555555,46.335375,64.76289351265855,False,45.75,63.125,False,46.335375,64.76289351265855,False
2024-08-06 06:00:00,43.27322222222222,42.0,43.27322222222222,45.4185,64.76289351265855,False,44.75,63.125,False,45.4185,64.76289351265855,False
2024-08-06 07:00:00,43.033722222222224,42.0,43.033722222222224,44.51018055555555,64.76289351265855,False,43.75,63.125,False,44.51018055555555,64.76289351265855,False
2024-08-06 08:00:00,43.135888888888886,42.0,43.135888888888886,43.624159722222224,64.76289351265855,False,42.75,63.125,False,43.624159722222224,64.76289351265855,False
2024-08-06 09:00:00,42.75355555555555,42.0,42.75355555555555,42.80526388888889,64.76289351265855,False,41.875,63.125,False,42.80526388888889,64.76289351265855,False
2024-08-06 10:00:00,50.4876308554978,52.0,50.4876308554978,43.54208580138167,64.76289351265855,False,43.0,63.125,False,43.54208580138167,64.76289351265855,False
2024-08-06 11:00:00,59.44129425545158,59.0,59.44129425545158,46.28990730553534,64.76289351265855,False,45.75,63.125,False,46.28990730553534,64.76289351265855,False
2024-08-06 12:00:00,57.656055555555554,55.0,57.656055555555554,47.941178138868665,64.76289351265855,False,47.125,63.125,False,47.941178138868665,64.76289351265855,False
2024-08-06 13:00:00,57.83705555555556,58.0,57.83705555555556,49.70230313886867,64.76289351265855,False,49.0,63.125,False,49.70230313886867,64.76289351265855,False
2024-08-06 14:00:00,63.53988888888889,64.0,63.53988888888889,52.235636472202,64.76289351265855,False,51.75,63.125,False,52.235636472202,64.76289351265855,False
2024-08-06 15:00:00,70.55988888888888,71.0,70.55988888888888,55.676407305535335,64.76289351265855,False,55.375,63.125,False,55.676407305535335,64.76289351265855,False
