time_local,Mobile Lab O3,time_UTC
2024-07-21 02:00:00,49.21783333333334,2024-07-21 08:00:00
2024-07-21 03:00:00,47.89102777777778,2024-07-21 09:00:00
2024-07-21 04:00:00,46.582611111111106,2024-07-21 10:00:00
2024-07-21 05:00:00,45.84786111111111,2024-07-21 11:00:00
2024-07-21 06:00:00,45.810722222222225,2024-07-21 12:00:00
2024-07-21 07:00:00,44.98983333333333,2024-07-21 13:00:00
2024-07-21 08:00:00,44.879805555555556,2024-07-21 14:00:00
2024-07-21 09:00:00,45.501333333333335,2024-07-21 15:00:00
2024-07-21 10:00:00,47.11675,2024-07-21 16:00:00
2024-07-21 11:00:00,49.39725,2024-07-21 17:00:00
2024-07-21 12:00:00,51.18427777777778,2024-07-21 18:00:00
2024-07-21 13:00:00,54.41036111111111,2024-07-21 19:00:00
2024-07-21 14:00:00,60.49944444444444,2024-07-21 20:00:00
2024-07-21 15:00:00,72.7493654317122,2024-07-21 21:00:00
2024-07-21 16:00:00,69.56295375775967,2024-07-21 22:00:00
2024-07-21 17:00:00,66.69050800376648,2024-07-21 23:00:00
2024-07-21 18:00:00,69.74189272214606,2024-07-22 00:00:00
2024-07-21 19:00:00,66.66563888888888,2024-07-22 01:00:00
2024-07-21 20:00:00,60.22841666666667,2024-07-22 02:00:00
2024-07-21 21:00:00,56.02772222222222,2024-07-22 03:00:00
2024-07-21 22:00:00,56.63075,2024-07-22 04:00:00
2024-07-21 23:00:00,58.64763888888889,2024-07-22 05:00:00
2024-07-22 00:00:00,58.93872222222222,2024-07-22 06:00:00
2024-07-22 01:00:00,54.59147222222222,2024-07-22 07:00:00
2024-07-22 02:00:00,57.84497222222222,2024-07-22 08:00:00
2024-07-22 03:00:00,57.19775,2024-07-22 09:00:00
2024-07-22 04:00:00,56.774388888888886,2024-07-22 10:00:00
2024-07-22 05:00:00,58.19994444444444,2024-07-22 11:00:00
2024-07-22 06:00:00,59.422222222222224,2024-07-22 12:00:00
2024-07-22 07:00:00,58.75227777777778,2024-07-22 13:00:00
2024-07-22 08:00:00,57.71513888888889,2024-07-22 14:00:00
2024-07-22 09:00:00,57.293083333333335,2024-07-22 15:00:00
2024-07-22 10:00:00,56.46080450264724,2024-07-22 16:00:00
2024-07-22 11:00:00,57.488115282793395,2024-07-22 17:00:00
2024-07-22 12:00:00,57.56128571428569,2024-07-22 18:00:00
2024-07-22 13:00:00,,2024-07-22 19:00:00
2024-07-22 14:00:00,,2024-07-22 20:00:00
2024-07-22 15:00:00,,2024-07-22 21:00:00
2024-07-22 16:00:00,,2024-07-22 22:00:00
2024-07-22 17:00:00,,2024-07-22 23:00:00
