NAME,Explicit?,Formula,FullName,MW_g,INCHI,MCM Name,NOTES,,,,,,,,,,,,
C2H4,True,C2H4,Ethylene,28.05,InChI=1S/C2H4/c1-2/h1-2H2,,,,,,,,,,,,,,
C2H6,True,C2H6,Ethane,30.08,InChI=1S/C2H6/c1-2/h1-2H3,,,,,,,,,,,,,,
C3H8,True,C3H8,Propane,44.11,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",,,,,,,,,,,,,,
C4H6,True,C4H6,"1,3-butadiene",54.09,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",,,,,,,,,,,,,,
C4HVP1,idk,C4H7O3,C4 hydroxy-vinyl peroxy radicals from HPALDS,103.11,"InChI=1S/C4H7O3/c1-4(7-6)2-3-5/h2,5H,3H2,1H3/b4-2+;InChI=1S/C4H7O3/c1-4(7-6)2-3-5/h2,5H,3H2,1H3/b4-2-",,,,,,,,,,,,,,
C4HVP2,idk,C4H7O3,C4 hydroxy-vinyl peroxy radicals from HPALDS,103.11,"InChI=1S/C4H7O3/c1-4(2-5)3-7-6/h3,5H,2H2,1H3/b4-3+;InChI=1S/C4H7O3/c1-4(2-5)3-7-6/h3,5H,2H2,1H3/b4-3-",,,,,,,,,,,,,,
C96N,False,C9H15NO4,Saturated 2nd gen monoterpene organic nitrate,215.28,"InChI=1S/C9H15NO4/c1-9(2,3)14-8(13)10-5-4-6(10)7(11)12/h6H,4-5H2,1-3H3,(H,11,12)/t6-/m0/s1;InChI=1S/C9H15NO4/c1-9(2,3)14-8(13)10-5-4-6(10)7(11)12/h6H,4-5H2,1-3H3,(H,11,12);InChI=1S/C9H15NO4/c1-9(2,3)14-8(13)10-5-4-6(10)7(11)12/h6H,4-5H2,1-3H3,(H,11,12)/t6-/m1/s1;",,,,,,,,,,,,,,
C96O2,False,C10H17O3,2nd-gen peroxy radical from APIN,185.27,,,,,,,,,,,,,,,
C96O2H,False,C9H16O3,Peroxide from APIN 2nd gen,186.28,"InChI=1S/C9H16O3/c1-2-12-8(11)9(7-10)5-3-4-6-9/h10H,2-7H2,1H3",,,,,,,,,,,,,,
CCl4,True,CCl4,Carbon tetrachloride,153.82,"InChI=1S/CCl4/c2-1(3,4)5",,,,,,,,,,,,,,
CFC11,True,CCl3F,CFC-11,137.37,"InChI=1S/CCl3F/c2-1(3,4)5",,,,,,,,,,,,,,
CFC113,True,C2Cl3F3,CFC-113,187.38,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",,,,,,,,,,,,,,
CFC114,True,C2Cl2F4,CFC-114,170.92,"InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8",,,,,,,,,,,,,,
CFC115,True,C2ClF5,CFC-115,154.47,"InChI=1S/C2ClF5/c3-1(4,5)2(6,7)8",,,,,,,,,,,,,,
CFC12,True,CCl2F2,CFC-12,120.91,"InChI=1S/CCl2F2/c2-1(3,4)5",,,,,,,,,,,,,,
CH2Br2,True,CH2Br2,Dibromomethane,173.83,InChI=1S/CH2Br2/c2-1-3/h1H2,,,,,,,,,,,,,,
CH2Cl2,True,CH2Cl2,Dichloromethane,84.93,InChI=1S/CH2Cl2/c2-1-3/h1H2,,,,,,,,,,,,,,
CH2I2,True,CH2I2,Diiodomethane,267.84,InChI=1S/CH2I2/c2-1-3/h1H2,,,,,,,,,,,,,,
CH2IBr,True,CH2IBr,Bromoiodomethane,220.84,InChI=1S/CH2BrI/c2-1-3/h1H2,,,,,,,,,,,,,,
CH2ICl,True,CH2ICl,Chloroiodomethane,176.38,InChI=1S/CH2ClI/c2-1-3/h1H2,,,,,,,,,,,,,,
CH2O,True,CH2O,Formaldehyde,30.03,InChI=1S/CH2O/c1-2/h1H2,,,,,,,,,,,,,,
CH2OO,idk,CH2OO,Criegee intermediate,46.03,InChI=1S/CH2O2/c1-3-2/h1H2,,,,,,,,,,,,,,
CH3Br,True,CH3Br,Methyl bromide,94.94,InChI=1S/CH3Br/c1-2/h1H3,,,,,,,,,,,,,,
CH3CCl3,True,CH3CCl3,Methyl chloroform,133.35,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",,,,,,,,,,,,,,
CH3CHOO,idk,CH3CHOO,Criegee intermediate,60.06,"InChI=1S/C2H4O2/c1-2-4-3/h2H,1H3",,,,,,,,,,,,,,
CH3Cl,True,CH3Cl,Chloromethane,50.45,InChI=1S/CH3Cl/c1-2/h1H3,,,,,,,,,,,,,,
CH3I,True,CH3I,Methyl iodide,141.94,InChI=1S/CH3I/c1-2/h1H3,,,,,,,,,,,,,,
CH4,True,CH4,Methane,16.04,InChI=1S/CH4/h1H4,,,,,,,,,,,,,,
CHBr3,True,CHBr3,Bromoform,252.73,InChI=1S/CHBr3/c2-1(3)4/h1H,,,,,,,,,,,,,,
CHCl3,True,CHCl3,Chloroform,119.35,InChI=1S/CHCl3/c2-1(3)4/h1H,,,,,,,,,,,,,,
Cl,True,Cl,Atomic chlorine,35.45,InChI=1S/Cl,,,,,,,,,,,,,,
Cl2,True,Cl2,Molecular chlorine,70.9,InChI=1S/Cl2/c1-2,,,,,,,,,,,,,,
Cl2O2,True,Cl2O2,Dichlorine dioxide,102.91,InChI=1S/Cl2O2/c1-3-4-2,,,,,,,,,,,,,,
ClNO2,True,ClNO2,Nitryl chloride,81.45,InChI=1S/ClNO2/c1-4-2-3,,,,,,,,,,,,,,
ClNO3,True,ClNO3,Chlorine nitrate,97.45,InChI=1S/ClNO3/c1-5-2(3)4,,,,,,,,,,,,,,
ClO,True,ClO,Chlorine monoxide,51.45,InChI=1S/ClO/c1-2,,,,,,,,,,,,,,
ClOO,True,ClOO,Chlorine dioxide,67.45,InChI=1S/ClO2/c1-3-2,,,,,,,,,,,,,,
CO,True,CO,Carbon monoxide,28.01,InChI=1S/CO/c1-2,,,,,,,,,,,,,,
CO2,True,CO2,Carbon dioxide,44.01,InChI=1S/CO2/c2-1-3,,,,,,,,,,,,,,
CSL,False,C7H8O,Cresols,108.14,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",,,,,,,,,,,,,,
DMS,True,(CH3)2S,Dimethyl sulfide,62.13,InChI=1S/C2H6S/c1-3-2/h1-2H3,,,,,,,,,,,,,,
EBZ,True,C8H10,Ethylbenzene,106.167,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",,,,,,,,,,,,,,
EOH,True,C2H5OH,Ethanol,46.07,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,,,,,,,,,,,,,
ETHLN,True,CHOCH2ONO2,Ethanol nitrate,105.06,"InChI=1S/C2H3NO4/c4-1-2-7-3(5)6/h1H,2H2",,,,,,,,,,,,,,
ETHN,True,HOCH2CH2ONO2,hydroxy-nitrooxy-ethane,107.07,"InChI=1S/C2H5NO4/c4-1-2-7-3(5)6/h4H,1-2H2",,,,,,,,,,,,,,
ETHP,True,HOCH2CH2OOH,hydroxy-hydroperoxy-ethane,78.07,"InChI=1S/C2H6O3/c3-1-2-5-4/h3-4H,1-2H2",,,,,,,,,,,,,,
ETNO3,True,C2H5ONO2,Ethyl nitrate,91.08,"InChI=1S/C2H5NO3/c1-2-6-3(4)5/h2H2,1H3",,,,,,,,,,,,,,
ETO,idk,HOCH2CH2O,alkoxy radical from ETOO,61.06,"InChI=1S/C2H5O/c1-2-3/h2H2,1H3",,,,,,,,,,,,,,
ETO2,idk,CH3CH2OO,ETO2,61.07,"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3",,,,,,,,,,,,,,
ETOO,True,HOCH2CH2OO,peroxy radical from ethene,77.06,"InChI=1S/C2H5O3/c3-1-2-5-4/h3H,1-2H2",,,,,,,,,,,,,,
ETP,True,CH3CH2OOH,Ethylhydroperoxide,62.08,"InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3",,,,,,,,,,,,,,
FURA,False,C4H4O,Furan conglomerate,68.07,,,,*,,,,,,,,,,,
FURA,idk,C4H4O,Furan conglomerate,68.07,InChI=1S/C4H4O/c1-2-4-5-3-1/h1-4H,,,,,,,,,,,,,,
GCO3,True,HOCH2CO3,Peroxyacetyl radical for PHAN,91.0428,"InChI=1S/C2H3O4/c3-1-2(4)6-5/h3H,1H2",HOCH2CO3,,,,,,,,,,,,,
GLYC,True,HOCH2CHO,Glycoaldehyde,60.06,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2",,,,,,,,,,,,,,
GLYX,True,CHOCHO,Glyoxal,58.04,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,,,,,,,,,,,,,,
H,True,H,Atomic hydrogen,1.01,InChI=1S/H,,,,,,,,,,,,,,
H1211,True,CBrClF2,"Halon 1211, Freon 12B1",165.36,"InChI=1S/CBrClF2/c2-1(3,4)5",,,,,,,,,,,,,,
H1301,True,CBrF3,"Halon 1301, Freon 13B1",148.91,"InChI=1S/CBrF3/c2-1(3,4)5",,,,,,,,,,,,,,
H2,True,H2,Molecular hydrogen,2.02,InChI=1S/H2/h1H,,,,,,,,,,,,,,
H2402,True,C2Br2F4,Halon 2402,259.82,"InChI=1S/C2Br2F4/c3-1(5,6)2(4,7)8",,,,,,,,,,,,,,
H2O,True,H2O,Water vapor,18.02,InChI=1S/H2O/h1H2,,,,,,,,,,,,,,
