NAME,Explicit?,Formula,FullName,MW_g,INCHI,MCM Name,NOTES,,,,,,,,,,,,
LNRO2N,NA,,Dummy species to track oxidation of NRO2 by NO,159.17,None,,,,,,,,,,,,,,
LTRO2H,NA,,Dummy species to track oxidation of TRO2 by HO2,173.16,None,,,,,,,,,,,,,,
LTRO2N,NA,,Dummy species to track oxidation of TRO2 by NO,173.16,None,,,,,,,,,,,,,,
LVOC,False,C5H14O5,Gas-phase low-volatility non-IEPOX product of RIP ox,154.19,,,,,,,,,,,,,,,
LVOCOA,False,C5H14O5,Aer-phase low-volatility non-IEPOX product of RIP ox,154.19,,,,,,,,,,,,,,,
LXRO2H,NA,,Dummy species to track oxidation of XRO2 by HO2,187.19,None,,,,,,,,,,,,,,
LXRO2N,NA,,Dummy species to track oxidation of XRO2 by NO,187.19,None,,,,,,,,,,,,,,
MACR,True,CH2=C(CH3)CHO,Methacrolein,70.1,"InChI=1S/C4H6O/c1-4(2)3-5/h3H,1H2,2H3",,,,,,,,,,,,,,
MACR1OO,True,CH2=C(CH3)C(O)OO,Peroxyacyl radical from MACR + OH,101.09,"InChI=1S/C4H5O3/c1-3(2)4(5)7-6/h1H2,2H3",,,,,,,,,,,,,,
MACR1OOH,False,CH2=C(CH3)C(O)OOH,Peracid from MACR,102.1,"InChI=1S/C4H6O2/c1-3(2)4(5)6/h1H2,2H3,(H,5,6);InChI=1S/C4H6O3/c1-3(2)4(5)7-6/h6H,1H2,2H3",MACO2H; MACO3H,"A peracid is a compound with the functional group: ""R–C(=O)–OOH"" where the peroxide linkage is directly attached to the carbonyl carbon. These compounds are often used as oxidizing agents in organic synthesis.",,,,,,,,,,,,
MACRNO2,idk,C4H6NO7,Product of MCRHN + OH,180.1,"InChI=1S/C4H6NO7/c1-4(2-6,3(7)11-10)12-5(8)9/h6H,2H2,1H3",,,,,,,,,,,,,,
MAP,True,CH3C(O)OOH,Peroxyacetic acid,76.06,"InChI=1S/C2H4O3/c1-2(3)5-4/h4H,1H3",,,,,,,,,,,,,,
MCO3,True,CH3C(O)OO,Peroxyacetyl radical,75.05,InChI=1S/C2H3O3/c1-2(3)5-4/h1H3,,,,,,,,,,,,,,
MCRDH,idk,C4H8O3,Dihydroxy-methacrolein,104.12,"InChI=1S/C4H8O3/c1-4(7,2-5)3-6/h2,6-7H,3H2,1H3",,,,,,,,,,,,,,
MCRENOL,False,C4H6O2,Lumped enols from MVK/MACR,86.1,"InChI=1S/C4H6O2/c1-4(2-5)3-6/h2-3,5H,1H3;InChI=1S/C4H6O2/c1-4(2-5)3-6/h2-3,5H,1H3/b4-2+;InChI=1S/C4H6O2/c1-4(6)2-3-5/h2-3,5H,1H3",,,,,,,,,,,,,,
MCRHN,idk,HOCH2C(ONO2)(CH3)CHO,Nitrate from MACR,149.11,"InChI=1S/C4H7NO5/c1-4(2-6,3-7)10-5(8)9/h2,7H,3H2,1H3;InChI=1S/C4H7NO7/c1-4(2-6,3(7)11-10)12-5(8)9/h6,10H,2H2,1H3",,,,,,,,,,,,,,
MCRHNB,idk,O2NOCH2C(OH)(CH3)CHO,Nitrate from MACR,149.11,"InChI=1S/C4H7NO5/c1-4(7,2-6)3-10-5(8)9/h2,7H,3H2,1H3;InChI=1S/C4H7NO6/c1-4(2-6,11-9)3-10-5(7)8/h2,9H,3H2,1H3;InChI=1S/C4H7NO6/c1-4(2-6,3(7)8)11-5(9)10/h6H,2H2,1H3,(H,7,8);InChI=1S/C5H8NO7/c1-5(8,3-12-6(9)10)4(2-7)13-11/h2,4,8H,3H2,1H3",,,,,,,,,,,,,,
MCRHP,idk,HOCH2C(OOH)(CH3)CHO,Hydroxy-hydroperoxy-methacrolein,120.12,"InChI=1S/C4H8O4/c1-4(2-5,3-6)8-7/h2,6-7H,3H2,1H3;InChI=1S/C4H8O4/c1-4(6,2-5)3-8-7/h2,6-7H,3H2,1H3",,,,,,,,,,,,,,
MCROHOO,idk,C4H7O4,Peroxy radical from MACR + OH,119.11,"InChI=1S/C4H7O4/c1-4(2-5,3-6)8-7/h2,6H,3H2,1H3;InChI=1S/C4H7O4/c1-4(6,2-5)3-8-7/h2,6H,3H2,1H3",,,,,,,,,,,,,,
MCT,False,C7H8O2,Catechols and methyl catechols,124,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H;InChI=1S/C7H8O2/c1-5-3-2-4-6(8)7(5)9/h2-4,8-9H,1H3",,,*,,,,,,,,,,,
MEK,True,RC(O)R,Methyl Ethyl Ketone,72.11,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",,,,,,,,,,,,,,
MEKCO3,idk,C3H5O4,,105.07,,,,,,,,,,,,,,,
MEKPN,idk,C3H5NO6,MEK peroxyacetyl nitrate,151.07,,,,,,,,,,,,,,,
MENO3,True,CH3ONO2,Methyl nitrate,77.05,InChI=1S/CH3NO3/c1-5-2(3)4/h1H3,,,,,,,,,,,,,,
MGLY,True,CH3COCHO,Methylglyoxal,72.07,"InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3",,,,,,,,,,,,,,
MO2,True,CH3O2,Methylperoxy radical,47.04,InChI=1S/CH3O2/c1-3-2/h1H3,,,,,,,,,,,,,,
MOH,True,CH3OH,Methanol,32.05,"InChI=1S/CH4O/c1-2/h2H,1H3",,,,,,,,,,,,,,
MONITA,False,,Aer-phase organic nitrate from monoterpene precursors,14.01,"InChI=1S/C10H15NO4/c1-9(2)6-4-7(9)10(3,8(12)5-6)15-11(13)14/h6-7H,4-5H2,1-3H3;InChI=1S/C10H15NO4/c1-9(2)7-3-4-10(6-12,8(9)5-7)15-11(13)14/h6-8H,3-5H2,1-2H3;InChI=1S/C10H15NO5/c1-7(13)8-6-10(4-5-12,9(8,2)3)16-11(14)15/h5,8H,4,6H2,1-3H3;InChI=1S/C10H15NO6/c1-7(13)9(14)6-8(4-5-12)10(2,3)17-11(15)16/h5,8H,4,6H2,1-3H3;InChI=1S/C10H15NO6/c1-7(13)9(6-8(14)4-5-12)10(2,3)17-11(15)16/h5,9H,4,6H2,1-3H3;InChI=1S/C10H15NO6/c1-8(2)6-4-10(8,17-15)5-7(12)9(6,3)16-11(13)14/h6,15H,4-5H2,1-3H3;InChI=1S/C10H15NO6/c1-9(2)6-3-4-10(7(9)5-6,8(12)16-15)17-11(13)14/h6-7,15H,3-5H2,1-2H3;InChI=1S/C10H15NO7/c1-9(2,18-16)7-4-6(12)5-8(13)10(7,3)17-11(14)15/h7,16H,4-5H2,1-3H3;InChI=1S/C10H17NO4/c1-10(2,15-11(13)14)9-5-3-8(7-12)4-6-9/h3,9,12H,4-7H2,1-2H3;InChI=1S/C10H17NO4/c1-7(2)8-4-5-10(3,12)9(6-8)15-11(13)14/h8-9,12H,1,4-6H2,2-3H3;InChI=1S/C10H17NO4/c1-7(2)8-4-5-10(3,9(12)6-8)15-11(13)14/h8-9,12H,1,4-6H2,2-3H3;InChI=1S/C10H17NO4/c1-7-4-5-8(6-9(7)12)10(2,3)15-11(13)14/h4,8-9,12H,5-6H2,1-3H3;InChI=1S/C10H17NO4/c1-8-3-5-9(6-4-8)10(2,7-12)15-11(13)14/h3,9,12H,4-7H2,1-2H3;InChI=1S/C10H17NO4/c1-9(2)6-4-7(9)10(3,12)8(5-6)15-11(13)14/h6-8,12H,4-5H2,1-3H3;InChI=1S/C10H17NO4/c1-9(2)6-4-7(9)10(3,8(12)5-6)15-11(13)14/h6-8,12H,4-5H2,1-3H3;InChI=1S/C10H17NO4/c1-9(2)7-3-4-10(12,8(9)5-7)6-15-11(13)14/h7-8,12H,3-6H2,1-2H3;InChI=1S/C10H17NO4/c1-9(2)7-3-4-10(6-12,8(9)5-7)15-11(13)14/h7-8,12H,3-6H2,1-2H3;InChI=1S/C10H17NO5/c1-7(2)8-4-5-10(3,16-14)9(6-8)15-11(12)13/h8-9,14H,1,4-6H2,2-3H3;InChI=1S/C10H17NO5/c1-9(2)6-4-7(9)10(3,16-11(12)13)8(5-6)15-14/h6-8,14H,4-5H2,1-3H3;InChI=1S/C10H17NO5/c1-9(2)6-4-7(9)10(3,16-14)8(5-6)15-11(12)13/h6-8,14H,4-5H2,1-3H3;InChI=1S/C10H17NO5/c1-9(2)7-3-4-10(16-14,8(9)5-7)6-15-11(12)13/h7-8,14H,3-6H2,1-2H3;InChI=1S/C10H17NO5/c1-9(2)7-3-4-10(6-15-14,8(9)5-7)16-11(12)13/h7-8,14H,3-6H2,1-2H3;InChI=1S/C10H17NO6/c1-8(13)3-4-9(5-6-12)10(2,14)7-17-11(15)16/h6,9,14H,3-5,7H2,1-2H3;InChI=1S/C10H17NO6/c1-8(14)3-4-9(5-6-12)10(2,7-13)17-11(15)16/h6,9,13H,3-5,7H2,1-2H3;InChI=1S/C10H17NO7/c1-8(13)3-4-9(5-6-12)10(2,18-16)7-17-11(14)15/h6,9,16H,3-5,7H2,1-2H3;InChI=1S/C2H5NO4/c4-1-2-7-3(5)6/h4H,1-2H2;InChI=1S/C3H5NO5/c1-3(9-7)2-8-4(5)6/h2H2,1H3;InChI=1S/C4H5NO5/c1-3(7)4(2-6)10-5(8)9/h2,4H,1H3;InChI=1S/C4H5NO5/c1-4(2-6,3-7)10-5(8)9/h2-3H,1H3;InChI=1S/C4H5NO6/c1-4(2-6,3(7)8)11-5(9)10/h2H,1H3,(H,7,8);InChI=1S/C4H5NO7/c1-2(6)3(4(7)12-10)11-5(8)9/h3,10H,1H3;InChI=1S/C4H5NO7/c1-4(2-6,3(7)11-10)12-5(8)9/h2,10H,1H3;InChI=1S/C4H7NO4/c1-4(6)2-3-9-5(7)8/h2-3H2,1H3;InChI=1S/C4H7NO6/c1-3(11-9)4(2-6)10-5(7)8/h4,6H,2H2,1H3;InChI=1S/C4H7NO6/c1-4(8,3(6)7)2-11-5(9)10/h8H,2H2,1H3,(H,6,7);InChI=1S/C4H9NO4/c1-4(2,6)3-9-5(7)8/h6H,3H2,1-2H3;InChI=1S/C5H11NO6/c1-5(9,3-8)4(2-7)12-6(10)11/h4,7-9H,2-3H2,1H3;InChI=1S/C5H11NO6/c1-5(9,4(8)2-7)3-12-6(10)11/h4,7-9H,2-3H2,1H3;InChI=1S/C5H7NO5/c7-3-1-5(2-4-8)11-6(9)10/h3-5H,1-2H2;InChI=1S/C5H7NO5/c7-3-1-5(8)2-4-11-6(9)10/h3H,1-2,4H2;InChI=1S/C5H7NO6/c1-5(3-8,4(9)2-7)12-6(10)11/h2-4,9H,1H3;InChI=1S/C5H7NO6/c1-5(9,3-8)4(2-7)12-6(10)11/h2-4,9H,1H3;InChI=1S/C5H7NO6/c1-5(9,4(8)2-7)3-12-6(10)11/h2,9H,3H2,1H3;InChI=1S/C5H7NO7/c1-5(13-10)3(12-6(8)9)2-11-4(5)7/h3,10H,2H2,1H3;InChI=1S/C5H7NO7/c1-5(2-7,13-6(11)12)3(8)4(9)10/h2-3,8H,1H3,(H,9,10);InChI=1S/C5H7NO7/c1-5(4(9)10,3(8)2-7)13-6(11)12/h2-3,8H,1H3,(H,9,10);InChI=1S/C5H7NO8/c1-5(2-7,14-6(10)11)3(8)4(9)13-12/h2-3,8,12H,1H3;InChI=1S/C5H7NO8/c1-5(3(8)2-7,4(9)13-12)14-6(10)11/h2-3,8,12H,1H3;InChI=1S/C5H7NO8/c1-5(9,4(8)14-12)3(2-7)13-6(10)11/h2-3,9,12H,1H3;InChI=1S/C5H8N2O10/c1-5(2-8,17-7(12)13)3(4(9)16-14)15-6(10)11/h3,8,14H,2H2,1H3;InChI=1S/C5H8N2O10/c1-5(4(9)16-14,17-7(12)13)3(2-8)15-6(10)11/h3,8,14H,2H2,1H3;InChI=1S/C5H8N2O10/c1-5(9,2-15-6(10)11)3(4(8)17-14)16-7(12)13/h3,9,14H,2H2,1H3;InChI=1S/C5H8N2O8/c1-5(3-9,15-7(12)13)4(2-8)14-6(10)11/h2,4,9H,3H2,1H3;InChI=1S/C5H8N2O8/c1-5(3-9,15-7(12)13)4(2-8)14-6(10)11/h3-4,8H,2H2,1H3;InChI=1S/C5H8N2O9/c1-5(10,2-15-6(11)12)3(4(8)9)16-7(13)14/h3,10H,2H2,1H3,(H,8,9);InChI=1S/C5H8N2O9/c1-5(2-8,16-7(13)14)3(4(9)10)15-6(11)12/h3,8H,2H2,1H3,(H,9,10);InChI=1S/C5H8N2O9/c1-5(4(9)10,16-7(13)14)3(2-8)15-6(11)12/h3,8H,2H2,1H3,(H,9,10);InChI=1S/C5H9NO5/c1-4(8)5(2-7)3-11-6(9)10/h5,7H,2-3H2,1H3;InChI=1S/C5H9NO6/c1-5(3-8,4(9)2-7)12-6(10)11/h2,4,8-9H,3H2,1H3;InChI=1S/C5H9NO6/c1-5(9,3-8)4(2-7)12-6(10)11/h3-4,7,9H,2H2,1H3;InChI=1S/C5H9NO6/c1-5(9,4(8)2-7)3-12-6(10)11/h7,9H,2-3H2,1H3;InChI=1S/C5H9NO7/c1-5(2-7,13-6(11)12)3(8)4(9)10/h3,7-8H,2H2,1H3,(H,9,10);InChI=1S/C5H9NO7/c1-5(4(9)10,3(8)2-7)13-6(11)12/h3,7-8H,2H2,1H3,(H,9,10);InChI=1S/C5H9NO8/c1-5(2-7,14-6(10)11)3(8)4(9)13-12/h3,7-8,12H,2H2,1H3;InChI=1S/C5H9NO8/c1-5(3(8)2-7,4(9)13-12)14-6(10)11/h3,7-8,12H,2H2,1H3;InChI=1S/C5H9NO8/c1-5(9,4(8)14-12)3(2-7)13-6(10)11/h3,7,9,12H,2H2,1H3;InChI=1S/C5H9NO9/c1-5(15-12,4(8)14-11)3(2-7)13-6(9)10/h3,7,11-12H,2H2,1H3;InChI=1S/C6H11NO4/c1-5(2)6(3-4-8)11-7(9)10/h6,8H,1,3-4H2,2H3;InChI=1S/C6H11NO4/c1-5(2)6(3-8)4-11-7(9)10/h6,8H,1,3-4H2,2H3;InChI=1S/C6H11NO6/c1-6(10,4-13-7(11)12)5(2-8)3-9/h2,5,9-10H,3-4H2,1H3;InChI=1S/C6H11NO6/c1-6(4-10,13-7(11)12)5(2-8)3-9/h2,5,9-10H,3-4H2,1H3;InChI=1S/C6H11NO7/c1-6(14-12,4-13-7(10)11)5(2-8)3-9/h2,5,9,12H,3-4H2,1H3;InChI=1S/C6H9NO5/c1-5(9)6(2-3-8)4-12-7(10)11/h3,6H,2,4H2,1H3;InChI=1S/C6H9NO6/c1-4(9)6(10)2-5(3-8)13-7(11)12/h5,8H,2-3H2,1H3;InChI=1S/C7H11NO4/c1-5-2-3-6(4-7(5)9)12-8(10)11/h2,6-7,9H,3-4H2,1H3;InChI=1S/C7H11NO4/c1-6(2)7(3-4-9)5-12-8(10)11/h4,7H,1,3,5H2,2H3;InChI=1S/C7H11NO5/c1-6(10)7(2-4-9)3-5-13-8(11)12/h4,7H,2-3,5H2,1H3;InChI=1S/C7H11NO5/c1-7(2,5-9)6(10)3-4-13-8(11)12/h5H,3-4H2,1-2H3;InChI=1S/C7H11NO6/c1-5(9)6(2-3-7(10)11)4-14-8(12)13/h6H,2-4H2,1H3,(H,10,11);InChI=1S/C7H11NO6/c1-7(14-8(12)13)5(10)2-4(9)3-6(7)11/h5-6,10-11H,2-3H2,1H3;InChI=1S/C7H13NO6/c1-7(11,5-14-8(12)13)6(4-10)2-3-9/h3,6,10-11H,2,4-5H2,1H3;InChI=1S/C7H13NO6/c1-7(11,5-14-8(12)13)6(4-10)2-3-9/h4,6,9,11H,2-3,5H2,1H3;InChI=1S/C7H13NO6/c1-7(5-11,14-8(12)13)6(4-10)2-3-9/h3,6,10-11H,2,4-5H2,1H3;InChI=1S/C7H13NO6/c1-7(5-11,14-8(12)13)6(4-10)2-3-9/h4,6,9,11H,2-3,5H2,1H3;InChI=1S/C7H13NO7/c1-7(15-13,5-14-8(11)12)6(4-10)2-3-9/h3,6,10,13H,2,4-5H2,1H3;InChI=1S/C7H13NO7/c1-7(15-13,5-14-8(11)12)6(4-10)2-3-9/h4,6,9,13H,2-3,5H2,1H3;InChI=1S/C7H7NO6/c1-7(14-8(12)13)5(10)2-4(9)3-6(7)11/h2-3H2,1H3;InChI=1S/C7H7NO8/c1-7(16-8(12)13)4(10)2-3(9)5(15-14)6(7)11/h5,14H,2H2,1H3;InChI=1S/C7H7NO9/c1-7(6(12)16-15,17-8(13)14)5(11)2-4(10)3-9/h3,15H,2H2,1H3;InChI=1S/C7H9NO6/c1-5(10)7(11)4-6(2-3-9)14-8(12)13/h3,6H,2,4H2,1H3;InChI=1S/C7H9NO7/c1-7(15-8(11)12)5(10)2-4(9)3-6(7)14-13/h6,13H,2-3H2,1H3;InChI=1S/C8H13NO3/c1-8(2)5-3-6(8)7(4-5)12-9(10)11/h5-7H,3-4H2,1-2H3;InChI=1S/C8H13NO4/c1-7(2)8(3-5-10)4-6-13-9(11)12/h5,8H,1,3-4,6H2,2H3;InChI=1S/C8H13NO4/c1-8(2)6(3-4-10)5-7(8)13-9(11)12/h4,6-7H,3,5H2,1-2H3;InChI=1S/C8H13NO5/c1-6(10)3-4-8(7(2)11)5-14-9(12)13/h8H,3-5H2,1-2H3;InChI=1S/C8H13NO5/c1-6(2)7(3-4-8(10)11)5-14-9(12)13/h7H,1,3-5H2,2H3,(H,10,11);InChI=1S/C8H13NO5/c1-8(2)5(4-14-9(12)13)3-6(8)7(10)11/h5-6H,3-4H2,1-2H3,(H,10,11);InChI=1S/C8H13NO5/c1-8(2,14-9(12)13)7(3-5-10)4-6-11/h5-7H,3-4H2,1-2H3;InChI=1S/C8H13NO6/c1-8(12,6-15-9(13)14)7(2-4-10)3-5-11/h4-5,7,12H,2-3,6H2,1H3;InChI=1S/C8H13NO6/c1-8(6-12,15-9(13)14)7(2-4-10)3-5-11/h4-5,7,12H,2-3,6H2,1H3;InChI=1S/C8H13NO7/c1-8(16-14,6-15-9(12)13)7(2-4-10)3-5-11/h4-5,7,14H,2-3,6H2,1H3;InChI=1S/C8H13NO7/c1-8(2,16-9(14)15)5(4-10)3-6(11)7(12)13/h5,10H,3-4H2,1-2H3,(H,12,13);InChI=1S/C9H11NO5/c1-9(2)6-4(11)3-5(12)7(9)8(6)15-10(13)14/h6-8H,3H2,1-2H3;InChI=1S/C9H13NO4/c1-8(2)6-5-9(8,14-10(12)13)4-3-7(6)11/h6H,3-5H2,1-2H3;InChI=1S/C9H13NO4/c1-9(2)5-3-4-6(11)7(9)8(5)14-10(12)13/h5,7-8H,3-4H2,1-2H3;InChI=1S/C9H13NO4/c1-9(2)5-3-6(9)8(4-7(5)11)14-10(12)13/h5-6,8H,3-4H2,1-2H3;InChI=1S/C9H13NO5/c1-9(2)6(5-11)7(12)3-4-8(9)15-10(13)14/h5-6,8H,3-4H2,1-2H3;InChI=1S/C9H13NO5/c1-9(2)6(7(12)3-4-11)5-8(9)15-10(13)14/h4,6,8H,3,5H2,1-2H3;InChI=1S/C9H13NO5/c1-9(2,15-10(13)14)7-5-6(11)3-4-8(7)12/h7H,3-5H2,1-2H3;InChI=1S/C9H13NO6/c1-9(2,16-10(14)15)7(3-5-11)8(13)4-6-12/h5-7H,3-4H2,1-2H3;InChI=1S/C9H13NO6/c1-9(2,16-10(14)15)7(6-12)8(13)4-3-5-11/h5-7H,3-4H2,1-2H3;InChI=1S/C9H15NO4/c1-6(11)8-4-7(9(8,2)3)5-14-10(12)13/h7-8H,4-5H2,1-3H3;InChI=1S/C9H15NO4/c1-7(2)9(5-4-8(3)11)6-14-10(12)13/h9H,1,4-6H2,2-3H3;InChI=1S/C9H15NO5/c1-6(11)7-3-4-9(2,12)8(5-7)15-10(13)14/h7-8,12H,3-5H2,1-2H3;InChI=1S/C9H15NO5/c1-6(11)7-3-4-9(2,8(12)5-7)15-10(13)14/h7-8,12H,3-5H2,1-2H3;InChI=1S/C9H15NO6/c1-6(11)7-3-4-9(2,16-14)8(5-7)15-10(12)13/h7-8,14H,3-5H2,1-2H3;InChI=1S/C9H15NO6/c1-6(12)8(13)4-7(5-11)9(2,3)16-10(14)15/h7,11H,4-5H2,1-3H3",,,,,,,,,,,,,,
MONITS,False,C10H17NO4,Saturated 1st gen monoterpene organic nitrate,215.28,"InChI=1S/C10H17NO4/c1-9(2)6-4-7(9)10(3,8(12)5-6)15-11(13)14/h6-8,12H,4-5H2,1-3H3;InChI=1S/C10H17NO4/c1-9(2)6-4-7(9)10(3,12)8(5-6)15-11(13)14/h6-8,12H,4-5H2,1-3H3;InChI=1S/C10H17NO5/c1-9(2)6-4-7(9)10(3,16-14)8(5-6)15-11(12)13/h6-8,14H,4-5H2,1-3H3;InChI=1S/C10H17NO5/c1-9(2)6-4-7(9)10(3,16-11(12)13)8(5-6)15-14/h6-8,14H,4-5H2,1-3H3;InChI=1S/C10H17NO4/c1-9(2)7-3-4-10(6-12,8(9)5-7)15-11(13)14/h7-8,12H,3-6H2,1-2H3;InChI=1S/C10H17NO4/c1-9(2)7-3-4-10(12,8(9)5-7)6-15-11(13)14/h7-8,12H,3-6H2,1-2H3;InChI=1S/C10H17NO5/c1-9(2)7-3-4-10(16-14,8(9)5-7)6-15-11(12)13/h7-8,14H,3-6H2,1-2H3;InChI=1S/C10H17NO5/c1-9(2)7-3-4-10(6-15-14,8(9)5-7)16-11(12)13/h7-8,14H,3-6H2,1-2H3",,,,,,,,,,,,,,
MONITU,False,C10H17NO4,Unsaturated 1st gen monoterpene organic nitrate,215.28,"InChI=1S/C10H17NO4/c1-7-4-5-8(6-9(7)12)10(2,3)15-11(13)14/h4,8-9,12H,5-6H2,1-3H3;InChI=1S/C10H17NO4/c1-10(2,15-11(13)14)9-5-3-8(7-12)4-6-9/h3,9,12H,4-7H2,1-2H3;InChI=1S/C10H17NO4/c1-7(2)8-4-5-10(3,12)9(6-8)15-11(13)14/h8-9,12H,1,4-6H2,2-3H3;InChI=1S/C10H17NO4/c1-7(2)8-4-5-10(3,9(12)6-8)15-11(13)14/h8-9,12H,1,4-6H2,2-3H3;InChI=1S/C10H17NO4/c1-8-3-5-9(6-4-8)10(2,7-12)15-11(13)14/h3,9,12H,4-7H2,1-2H3;InChI=1S/C10H17NO4/c1-7(12)4-5-8-9(15-11(13)14)6-10(8,2)3/h8-9H,4-6H2,1-3H3",,,,,,,,,,,,,,
MP,True,CH3OOH,Methyl hydro peroxide,48.05,"InChI=1S/CH4O2/c1-3-2/h2H,1H3",,,,,,,,,,,,,,
MPAN,idk,CH2=C(CH3)C(O)OONO2,Peroxymethacroyl nitrate (PMN),147.1,"InChI=1S/C4H5NO5/c1-3(2)4(6)9-10-5(7)8/h1H2,2H3;InChI=1S/C4H6N2O9/c1-4(2-7,14-5(9)10)3(8)13-15-6(11)12/h7H,2H2,1H3",,,,,,,,,,,,,,
MPN,True,CH3O2NO2,Methyl peroxy nitrate,93.05,InChI=1S/CH3NO4/c1-5-6-2(3)4/h1H3,,,,,,,,,,,,,,
MSA,True,CH4SO3,Methyl sulfonic acid,96.1,"InChI=1S/CH4O3S/c1-5(2,3)4/h1H3,(H,2,3,4)",,,,,,,,,,,,,,
MTPA,False,,"a-pinene, b-pinene, sabinene, carene",136.26,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3;InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3;InChI=1S/C10H16/c1-7(2)10-5-4-8(3)9(10)6-10/h7,9H,3-6H2,1-2H3;InChI=1S/C10H16/c1-7-4-5-8-9(6-7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",,,*,,,,,,,,,,,
MTPO,False,,"Terpinene, terpinolene, myrcene, ocimene, other monoterpenes",136.26,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,7-8H,5-6H2,1-3H3;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8H,5,7H2,1-3H3;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4H,5-7H2,1-3H3;InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3;InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8+;InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8-;InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,8H,1-2,6-7H2,3-4H3/b10-8-;InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3;InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3;InChI=1S/C10H14/c1-8(2)10-7-5-4-6-9(10)3/h4-8H,1-3H3;InChI=1S/C10H14/c1-8(2)10-6-4-5-9(3)7-10/h4-8H,1-3H3",,,*,,,,,,,,,,,
MVK,True,CH2=CHC(=O)CH3,Methyl vinyl ketone,70.09,"InChI=1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3",,,,,,,,,,,,,,
MVKDH,False,HOCH2CH2OHC(O)CH3,dihydroxy-MVK,105.13,"InChI=1S/C4H8O3/c1-3(6)4(7)2-5/h4-5,7H,2H2,1H3",,,,,,,,,,,,,,
MVKHC,idk,C4H6O3,MVK hydroxy-carbonyl,102.1,"InChI=1S/C4H6O3/c5-4(6)3-1-7-2-3/h3H,1-2H2,(H,5,6)",,,,,,,,,,,,,,
MVKHCB,idk,C4H6O3,MVK hydroxy-carbonyl,102.1,"InChI=1S/C4H6O3/c5-4(6)3-1-7-2-3/h3H,1-2H2,(H,5,6)",,,,,,,,,,,,,,
MVKHP,idk,C4H8O4,MVK hydroxy-hydroperoxide,120.12,"InChI=1S/C4H8O4/c1-3(5)4(6)2-8-7/h4,6-7H,2H2,1H3;InChI=1S/C4H8O4/c1-3(6)4(2-5)8-7/h4-5,7H,2H2,1H3",,,,,,,,,,,,,,
MVKN,idk,HOCH2CH(ONO2)C(=O)CH3,Nitrate from MVK,149.12,"InChI=1S/C4H5NO5/c1-3(6)4(7)2-10-5(8)9/h2H2,1H3;InChI=1S/C4H7NO5/c1-3(6)4(7)2-10-5(8)9/h4,7H,2H2,1H3;InChI=1S/C4H7NO5/c1-3(7)4(2-6)10-5(8)9/h4,6H,2H2,1H3;InChI=1S/C4H7NO6/c1-3(6)4(11-9)2-10-5(7)8/h4,9H,2H2,1H3;InChI=1S/C5H8NO7/c1-5(3-7,13-11)4(8)2-12-6(9)10/h3-4,8H,2H2,1H3",,,,,,,,,,,,,,
MVKOHOO,idk,C4H7O4,Peroxy radical from MVK + OH,119.11,"InChI=1S/C4H7O4/c1-3(5)4(6)2-8-7/h4,6H,2H2,1H3;InChI=1S/C4H7O4/c1-3(6)4(2-5)8-7/h4-5H,2H2,1H3",,,,,,,,,,,,,,
MVKPC,idk,OCHCH(OOH)C(O)CH3,MVK hydroperoxy-carbonyl,118.1,"InChI=1S/C4H6O4/c1-3(6)4(2-5)8-7/h2,4,7H,1H3",,,,,,,,,,,,,,
MYRCO,idk,C10H18O3,Aldehyde or ketone from myrcene,186.28,,,,,,,,,,,,,,,
N,True,N,Atomic nitrogen,14.01,InChI=1S/N,,,,,,,,,,,,,,
N2,True,N2,Molecular nitrogen,28.02,InChI=1S/N2/c1-2,,,,,,,,,,,,,,
N2O,True,N2O,Nitrous oxide,44.02,InChI=1S/N2O/c1-2-3,,,,,,,,,,,,,,
N2O5,True,N2O5,Dinitrogen pentoxide,108.02,InChI=1S/N2O5/c3-1(4)7-2(5)6,,,,,,,,,,,,,,
NAP,idk,C10H8,Naphtalene/IVOC surrogate,128.18,InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H,,,,,,,,,,,,,,
