UDAQ_mixing_height_m_15min_avg,UDAQ_mixing_height_m_15min_avg_smoothed,Time_start_15min_local
71.333336,568.72235,3804396300
70,631.68988,3804397200
70,701.01666,3804398100
70,760.68237,3804399000
70,823.05164,3804399900
66.5,887.22876,3804400800
59,952.26447,3804401700
51.5,1017.1874,3804402600
44,1081.0366,3804403500
40,1142.8933,3804404400
40,1201.9095,3804405300
40,1257.3346,3804406200
40,1308.5366,3804407100
115.83334,1365.5914,3804408000
278.33334,1415.1764,3804408900
440.83334,1448.6709,3804409800
603.33331,1476.8901,3804410700
765.83331,1500.0022,3804411600
928.33331,1518.2994,3804412500
1090.8334,1532.1776,3804413400
1253.3334,1542.1113,3804414300
1341.1666,1548.6271,3804415200
1343.6666,1552.2733,3804416100
1346.1666,1553.59,3804417000
1348.6666,1553.0787,3804417900
1417.6666,1550.4738,3804418800
1562.6666,1546.4313,3804419700
1707.6666,1542.3027,3804420600
1852.6666,1537.4646,3804421500
1886.8334,1531.817,3804422400
1794.3334,1525.124,3804423300
1701.8334,1517.0234,3804424200
1609.3334,1507.0443,3804425100
1607.8334,1494.6311,3804426000
1710.3334,1479.1754,3804426900
1812.8334,1460.0524,3804427800
1915.3334,1436.6621,3804428700
1924.5,1400.3453,3804429600
1827,1356.3077,3804430500
1729.5,1314.6217,3804431400
1632,1267.4098,3804432300
1529.0555,1214.9299,3804433200
1419.8889,1157.6835,3804434100
1310.7222,1096.4154,3804435000
1201.5555,1032.098,3804435900
1092.3889,965.89923,3804436800
983.22223,899.1319,3804437700
874.05554,833.18719,3804438600
764.88892,769.45337,3804439500
655.72223,695.10101,3804440400
546.55554,627.77783,3804441300
437.38889,580.47052,3804442200
328.22223,539.09833,3804443100
249,503.48309,3804444000
204,473.05637,3804444900
159,446.97687,3804445800
114,424.36435,3804446700
86.5,404.68707,3804447600
79,388.34653,3804448500
71.5,376.22375,3804449400
64,364.23126,3804450300
60,259.02966,3804451200
60,259.02966,3804452100
60,259.02966,3804453000
60,258.94177,3804453900
60,258.5936,3804454800
60,258.24655,3804455700
60,257.89954,3804456600
60,257.55252,3804457500
63.5,257.20551,3804458400
71,256.85849,3804459300
78.5,256.51147,3804460200
86,256.16443,3804461100
86.5,255.73067,3804462000
79,255.29689,3804462900
71.5,254.94987,3804463800
64,254.60284,3804464700
63.5,254.25583,3804465600
71,253.90881,3804466500
78.5,253.56178,3804467400
86,253.21477,3804468300
86.5,252.86775,3804469200
79,252.52074,3804470100
71.5,252.17371,3804471000
64,252.07335,3804471900
60,252.49376,3804472800
60,254.03993,3804473700
60,256.79971,3804474600
60,261.43524,3804475500
59.708332,268.45319,3804476400
59.083332,278.32996,3804477300
58.458332,291.48581,3804478200
57.833332,308.26187,3804479100
57.208332,328.90131,3804480000
56.583332,353.535,3804480900
55.958332,382.17245,3804481800
55.333332,414.69785,3804482700
54.708332,460.61212,3804483600
54.083332,511.16345,3804484500
53.458332,554.67023,3804485400
52.833332,600.14825,3804486300
52.208332,646.94458,3804487200
51.583332,694.36694,3804488100
50.958332,741.70709,3804489000
50.333332,788.26434,3804489900
50,833.36865,3804490800
50,876.40179,3804491700
50,916.81628,3804492600
50,954.15155,3804493500
212.16667,995.75446,3804494400
559.66669,1031.9105,3804495300
907.16669,1056.3339,3804496200
1254.6666,1076.9105,3804497100
1280.1666,1093.7633,3804498000
937.66669,1107.1052,3804498900
595.16669,1117.2247,3804499800
252.66667,1124.4683,3804500700
225.16667,1129.2194,3804501600
557.66669,1131.8781,3804502500
890.16669,1132.8381,3804503400
1222.6666,1132.4655,3804504300
1407,1130.5659,3804505200
1422,1127.6183,3804506100
1437,1124.6078,3804507000
1452,1121.08,3804507900
1454.1666,1116.9619,3804508800
1441.6666,1112.0815,3804509700
1429.1666,1106.1748,3804510600
1416.6666,1098.8982,3804511500
1410,1089.8468,3804512400
1410,1078.5769,3804513300
1410,1064.6329,3804514200
1410,1047.5774,3804515100
1331.25,1021.0961,3804516000
1162.5,988.98499,3804516900
993.75,958.58856,3804517800
825,924.1629,3804518700
656.25,885.89594,3804519600
487.5,844.15326,3804520500
318.75,799.47809,3804521400
150,752.57953,3804522300
64.666664,704.30908,3804523200
74.666664,655.62402,3804524100
84.666664,607.53882,3804525000
94.666664,561.0658,3804525900
100,506.84995,3804526800
100,457.75958,3804527700
100,423.26428,3804528600
100,393.09674,3804529500
107,367.12701,3804530400
122,344.94064,3804531300
137,342.75381,3804532200
152,340.56696,3804533100
167,338.38013,3804534000
182,336.1933,3804534900
197,334.00647,3804535800
212,331.81961,3804536700
227,329.63278,3804537600
242,329.63278,3804538500
257,329.63278,3804539400
272,329.5209,3804540300
279.41666,329.07785,3804541200
278.16666,328.63623,3804542100
276.91666,328.19464,3804543000
275.66666,327.75302,3804543900
274.41666,327.3114,3804544800
273.16666,326.86981,3804545700
271.91666,326.42819,3804546600
270.66666,325.9866,3804547500
270,325.43457,3804548400
270,324.88257,3804549300
270,324.44098,3804550200
270,323.99936,3804551100
246.66667,323.55774,3804552000
196.66667,323.11615,3804552900
146.66667,322.67453,3804553800
96.666664,322.23294,3804554700
96.833336,321.79132,3804555600
154.33333,321.34973,3804556500
211.83333,320.90811,3804557400
269.33334,320.7804,3804558300
291.83334,321.3154,3804559200
274.33334,323.28302,3804560100
256.83334,326.79504,3804561000
239.33333,332.69403,3804561900
245.16667,341.62485,3804562800
277.66666,354.1937,3804563700
310.16666,370.93539,3804564600
342.66666,392.28409,3804565500
358.83334,418.54916,3804566400
356.33334,449.89725,3804567300
353.83334,486.34033,3804568200
351.33334,527.73108,3804569100
350,586.1601,3804570000
350,650.49011,3804570900
350,705.85535,3804571800
350,763.72925,3804572700
354.66666,823.28076,3804573600
364.66666,883.62891,3804574500
374.66666,943.87244,3804575400
384.66666,1003.1198,3804576300
397,1060.5181,3804577200
412,1115.2805,3804578100
427,1166.7108,3804579000
442,1214.2224,3804579900
508.33334,1267.1649,3804580800
633.33331,1313.1759,3804581700
758.33331,1344.2563,3804582600
883.33331,1370.4417,3804583500
975.66669,1391.8879,3804584400
1030.6666,1408.8663,3804585300
1085.6666,1421.7441,3804586200
1140.6666,1430.9619,3804587100
1170,1437.0081,3804588000
1170,1440.3915,3804588900
1170,1441.6133,3804589800
1170,1441.1389,3804590700
1259.8334,1438.7217,3804591600
1452.3334,1434.9706,3804592500
1644.8334,1431.1395,3804593400
1837.3334,1426.6501,3804594300
1937.6666,1421.4097,3804595200
1932.6666,1415.199,3804596100
1927.6666,1407.6824,3804597000
1922.6666,1398.4224,3804597900
1927,1386.9038,3804598800
1942,1372.5621,3804599700
1957,1354.8175,3804600600
1972,1333.113,3804601500
1964.8334,1299.4138,3804602400
1932.3334,1258.5503,3804603300
1899.8334,1219.8689,3804604200
1867.3334,1176.0598,3804605100
1850,1127.3625,3804606000
1850,1074.2422,3804606900
1850,1017.39,3804607800
1850,957.70844,3804608700
1774.1666,896.28101,3804609600
1611.6666,834.32593,3804610500
1449.1666,773.13428,3804611400
1286.6666,713.9942,3804612300
1181.6666,645.00085,3804613200
1142.381,582.53003,3804614100
1103.0952,538.63245,3804615000
1063.8096,500.24222,3804615900
1024.5238,467.194,3804616800
985.2381,438.96033,3804617700
945.95239,414.76053,3804618600
906.66669,413.21915,3804619500
867.38098,411.67776,3804620400
828.09521,410.13638,3804621300
788.80951,408.595,3804622200
749.5238,407.05362,3804623100
710.2381,405.51224,3804624000
670.95239,403.97086,3804624900
631.66669,403.97086,3804625800
592.38098,403.83374,3804626700
553.09521,403.29074,3804627600
513.80951,402.74954,3804628500
474.5238,402.20834,3804629400
435.2381,401.66714,3804630300
395.95239,401.12598,3804631200
356.66666,400.58478,3804632100
317.38095,400.04358,3804633000
278.09525,399.50238,3804633900
238.80952,398.82587,3804634800
199.5238,398.14938,3804635700
160.2381,397.60818,3804636600
120.95238,397.06699,3804637500
146.66667,396.52579,3804638400
246.66667,395.98459,3804639300
346.66666,395.44339,3804640200
446.66666,394.90219,3804641100
500,394.36099,3804642000
500,393.81979,3804642900
500,393.27859,3804643800
500,393.12207,3804644700
480.16666,393.77774,3804645600
437.66666,396.18909,3804646500
395.16666,400.49313,3804647400
352.66666,407.72244,3804648300
324.16666,418.66733,3804649200
311.66666,434.07068,3804650100
299.16666,454.58795,3804651000
286.66666,480.75113,3804651900
260.16666,512.93945,3804652800
217.66667,551.35706,3804653700
175.16667,596.01874,3804654600
132.66667,646.74384,3804655500
138,718.34967,3804656400
198,797.18719,3804657300
258,865.03833,3804658200
318,935.96381,3804659100
355.83334,1008.9453,3804660000
368.33334,1082.903,3804660900
380.83334,1156.7324,3804661800
393.33334,1229.3411,3804662700
551.66669,1299.6837,3804663600
876.66669,1366.7961,3804664500
1201.6666,1429.8248,3804665400
1526.6666,1488.0511,3804666300
1709.3334,1552.9332,3804667200
1729.3334,1609.3204,3804668100
1749.3334,1647.41,3804669000
1769.3334,1679.5006,3804669900
1777.6666,1705.7834,3804670800
1772.6666,1726.5908,3804671700
1767.6666,1742.3728,3804672600
1762.6666,1753.6693,3804673500
1742.5,1761.079,3804674400
1705,1765.2253,3804675300
1667.5,1766.7227,3804676200
1630,1766.1414,3804677100
1645,1763.1791,3804678000
1720,1758.5819,3804678900
1795,1753.887,3804679800
1870,1748.3851,3804680700
1926.3334,1741.9628,3804681600
1961.3334,1734.3516,3804682500
1996.3334,1725.1398,3804683400
2031.3334,1713.7915,3804684300
2050,1699.6754,3804685200
2050,1682.0994,3804686100
