2024-08-24 17:54:02,837 - value: -52.79
2024-08-24 17:54:03,639 - value: -52.82
2024-08-24 17:54:04,544 - value: -52.93
2024-08-24 17:54:05,654 - value: -53.01
2024-08-24 17:54:06,955 - value: -53.10
2024-08-24 17:54:07,357 - value: -53.12
2024-08-24 17:54:08,265 - value: -53.13
2024-08-24 17:54:09,168 - value: -53.15
2024-08-24 17:54:09,368 - value: -53.15
2024-08-24 17:54:10,071 - value: -53.12
2024-08-24 17:54:10,974 - value: -53.08
2024-08-24 17:54:11,882 - value: -53.07
2024-08-24 17:54:12,787 - value: -53.04
2024-08-24 17:54:13,689 - value: -53.01
2024-08-24 17:54:14,494 - value: -52.95
2024-08-24 17:54:15,399 - value: -52.91
2024-08-24 17:54:16,307 - value: -52.88
2024-08-24 17:54:17,214 - value: -52.84
2024-08-24 17:54:18,119 - value: -52.80
2024-08-24 17:54:19,022 - value: -52.79
2024-08-24 17:54:19,927 - value: -52.89
2024-08-24 17:54:20,832 - value: -52.96
2024-08-24 17:54:21,735 - value: -52.98
2024-08-24 17:54:22,540 - value: -52.99
2024-08-24 17:54:23,444 - value: -53.04
2024-08-24 17:54:24,351 - value: -53.11
2024-08-24 17:54:25,253 - value: -53.18
2024-08-24 17:54:26,161 - value: -53.25
2024-08-24 17:54:27,064 - value: -53.29
2024-08-24 17:54:28,070 - value: -53.27
2024-08-24 17:54:28,976 - value: -53.21
2024-08-24 17:54:29,879 - value: -53.21
2024-08-24 17:54:30,684 - value: -53.23
2024-08-24 17:54:31,688 - value: -53.28
2024-08-24 17:54:32,590 - value: -53.36
2024-08-24 17:54:33,394 - value: -53.41
2024-08-24 17:54:34,197 - value: -53.37
2024-08-24 17:54:35,100 - value: -53.39
2024-08-24 17:54:36,007 - value: -53.46
2024-08-24 17:54:36,915 - value: -53.44
2024-08-24 17:54:37,815 - value: -53.45
2024-08-24 17:54:38,719 - value: -53.52
2024-08-24 17:54:39,622 - value: -53.60
2024-08-24 17:54:40,525 - value: -53.64
2024-08-24 17:54:41,329 - value: -53.69
2024-08-24 17:54:42,234 - value: -53.72
2024-08-24 17:54:43,137 - value: -53.66
2024-08-24 17:54:44,042 - value: -53.57
2024-08-24 17:54:45,049 - value: -53.52
2024-08-24 17:54:45,951 - value: -53.54
2024-08-24 17:54:46,857 - value: -53.63
2024-08-24 17:54:47,763 - value: -53.61
2024-08-24 17:54:48,665 - value: -53.55
2024-08-24 17:54:49,468 - value: -53.52
2024-08-24 17:54:50,374 - value: -53.57
2024-08-24 17:54:51,280 - value: -53.60
2024-08-24 17:54:52,185 - value: -53.65
2024-08-24 17:54:53,090 - value: -53.73
2024-08-24 17:54:53,993 - value: -53.79
2024-08-24 17:54:54,898 - value: -53.77
2024-08-24 17:54:55,804 - value: -53.75
2024-08-24 17:54:56,710 - value: -53.79
2024-08-24 17:54:57,513 - value: -53.90
2024-08-24 17:54:58,418 - value: -54.01
2024-08-24 17:54:59,421 - value: -54.06
2024-08-24 17:55:00,225 - value: -54.04
2024-08-24 17:55:01,137 - value: -53.99
2024-08-24 17:55:02,035 - value: -53.97
2024-08-24 17:55:02,940 - value: -53.94
2024-08-24 17:55:03,844 - value: -53.89
2024-08-24 17:55:04,749 - value: -53.86
2024-08-24 17:55:05,653 - value: -53.89
2024-08-24 17:55:06,557 - value: -53.91
2024-08-24 17:55:07,461 - value: -53.88
2024-08-24 17:55:08,265 - value: -53.91
2024-08-24 17:55:09,172 - value: -53.96
2024-08-24 17:55:10,077 - value: -54.04
2024-08-24 17:55:10,987 - value: -54.02
2024-08-24 17:55:11,888 - value: -54.04
2024-08-24 17:55:12,793 - value: -54.12
2024-08-24 17:55:13,797 - value: -54.13
2024-08-24 17:55:14,702 - value: -54.21
2024-08-24 17:55:15,608 - value: -54.26
2024-08-24 17:55:16,412 - value: -54.33
2024-08-24 17:55:17,217 - value: -54.36
2024-08-24 17:55:18,122 - value: -54.41
2024-08-24 17:55:19,528 - value: -54.46
2024-08-24 17:55:19,729 - value: -54.46
2024-08-24 17:55:19,935 - value: -54.54
2024-08-24 17:55:20,832 - value: -54.53
2024-08-24 17:55:21,735 - value: -54.51
2024-08-24 17:55:22,640 - value: -54.55
2024-08-24 17:55:23,546 - value: -54.59
2024-08-24 17:55:24,450 - value: -54.65
2024-08-24 17:55:25,255 - value: -54.69
2024-08-24 17:55:26,155 - value: -54.67
2024-08-24 17:55:27,062 - value: -54.68
2024-08-24 17:55:27,967 - value: -54.66
2024-08-24 17:55:28,970 - value: -54.66
2024-08-24 17:55:29,878 - value: -54.65
2024-08-24 17:55:30,789 - value: -54.65
2024-08-24 17:55:31,710 - value: -54.66
2024-08-24 17:55:32,495 - value: -54.64
2024-08-24 17:55:34,003 - value: -54.62
2024-08-24 17:55:34,203 - value: -54.71
2024-08-24 17:55:35,208 - value: -54.80
2024-08-24 17:55:36,012 - value: -54.84
2024-08-24 17:55:36,917 - value: -54.86
2024-08-24 17:55:37,823 - value: -54.85
2024-08-24 17:55:38,726 - value: -54.86
2024-08-24 17:55:39,630 - value: -54.86
2024-08-24 17:55:40,535 - value: -54.98
2024-08-24 17:55:41,443 - value: -55.07
2024-08-24 17:55:42,347 - value: -55.12
