Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
362       	17:07:56  	708.8 	10.1  	43    	83.8     	177   	-5.0       	83.7       	3018      	-2.0
364       	17:07:58  	707.8 	9.9   	42    	83.8     	177   	-5.0       	83.7       	3030      	-2.3
366       	17:08:00  	706.7 	9.8   	42    	83.8     	177   	-5.0       	83.7       	3043      	-2.5
368       	17:08:02  	705.6 	9.5   	42    	83.8     	177   	-5.0       	83.7       	3055      	-2.8
370       	17:08:04  	704.6 	9.2   	41    	83.8     	177   	-5.0       	83.7       	3068      	-3.3
372       	17:08:06  	703.5 	9.0   	41    	83.8     	177   	-5.0       	83.7       	3081      	-3.6
374       	17:08:08  	702.4 	8.9   	40    	83.8     	177   	-5.0       	83.7       	3093      	-3.8
376       	17:08:10  	701.4 	8.8   	40    	83.8     	177   	-5.0       	83.7       	3105      	-3.9
378       	17:08:12  	700.3 	8.7   	40    	83.8     	177   	-5.0       	83.7       	3118      	-4.0
380       	17:08:14  	699.3 	8.6   	40    	83.8     	177   	-5.0       	83.7       	3131      	-4.1
382       	17:08:16  	698.2 	8.5   	40    	83.8     	177   	-5.0       	83.7       	3143      	-4.2
384       	17:08:18  	697.1 	8.3   	40    	83.8     	177   	-5.0       	83.7       	3156      	-4.3
386       	17:08:20  	696.0 	8.2   	41    	83.8     	177   	-5.0       	83.7       	3169      	-4.3
388       	17:08:22  	694.9 	8.1   	41    	83.8     	177   	-5.0       	83.7       	3182      	-4.3
390       	17:08:24  	693.8 	8.0   	41    	83.8     	177   	-5.0       	83.7       	3195      	-4.3
392       	17:08:26  	692.8 	7.9   	41    	83.8     	177   	-5.0       	83.7       	3208      	-4.4
394       	17:08:28  	691.8 	7.7   	41    	83.8     	177   	-5.0       	83.7       	3219      	-4.6
396       	17:08:30  	690.8 	7.6   	41    	83.8     	177   	-5.0       	83.7       	3231      	-4.7
398       	17:08:32  	689.7 	2.8   	41    	83.8     	177   	-5.0       	83.7       	3242      	-9.0
400       	17:08:34  	688.6 	2.7   	42    	83.8     	177   	-5.0       	83.7       	3254      	-9.0
402       	17:08:36  	687.5 	2.6   	42    	83.8     	177   	-5.0       	83.7       	3270      	-9.0
404       	17:08:38  	686.0 	2.5   	42    	79.2     	177   	-3.5       	79.1       	3290      	-9.1
406       	17:08:40  	684.5 	7.1   	42    	74.3     	179   	-1.9       	74.3       	3309      	-4.9
408       	17:08:42  	683.0 	6.9   	42    	69.5     	180   	-0.4       	69.5       	3324      	-5.0
410       	17:08:44  	682.0 	6.8   	43    	64.7     	181   	1.2        	64.7       	3336      	-5.0
412       	17:08:46  	681.0 	6.6   	43    	60.0     	183   	2.7        	59.9       	3348      	-5.1
414       	17:08:48  	680.0 	6.4   	43    	55.3     	184   	4.3        	55.1       	3360      	-5.2
416       	17:08:50  	679.0 	6.2   	44    	50.7     	187   	5.8        	50.4       	3372      	-5.2
418       	17:08:52  	678.0 	6.1   	44    	46.2     	189   	7.3        	45.6       	3384      	-5.1
420       	17:08:54  	677.0 	6.0   	45    	41.8     	192   	8.9        	40.8       	3396      	-5.1
422       	17:08:56  	676.0 	5.9   	45    	37.5     	196   	10.4       	36.0       	3408      	-5.1
424       	17:08:58  	675.0 	5.7   	45    	37.4     	196   	10.5       	35.9       	3420      	-5.1
426       	17:09:00  	674.0 	5.6   	46    	37.4     	196   	10.5       	35.9       	3432      	-5.1
428       	17:09:02  	673.2 	5.5   	46    	37.4     	196   	10.5       	35.9       	3443      	-5.1
430       	17:09:04  	672.3 	5.4   	47    	37.4     	196   	10.5       	35.9       	3452      	-5.1
432       	17:09:06  	671.5 	5.3   	47    	37.4     	196   	10.5       	35.9       	3462      	-5.1
434       	17:09:08  	670.7 	5.3   	47    	37.4     	196   	10.5       	35.9       	3472      	-5.1
436       	17:09:10  	669.9 	5.2   	47    	37.4     	196   	10.5       	35.9       	3482      	-5.2
438       	17:09:12  	669.1 	5.0   	47    	37.4     	196   	10.5       	35.9       	3491      	-5.4
440       	17:09:14  	668.3 	5.0   	46    	37.4     	196   	10.5       	35.9       	3501      	-5.6
442       	17:09:16  	667.5 	4.9   	46    	37.4     	196   	10.5       	35.9       	3511      	-5.8
444       	17:09:18  	666.8 	4.9   	45    	37.4     	196   	10.5       	35.9       	3520      	-6.0
446       	17:09:20  	665.9 	4.9   	45    	37.4     	196   	10.5       	35.9       	3530      	-6.1
448       	17:09:22  	665.1 	4.8   	44    	37.5     	197   	10.7       	35.9       	3540      	-6.3
450       	17:09:24  	664.3 	4.7   	44    	37.6     	197   	11.1       	35.9       	3550      	-6.5
452       	17:09:26  	663.4 	4.6   	44    	37.8     	198   	11.5       	36.0       	3560      	-6.6
454       	17:09:28  	662.6 	4.6   	43    	38.0     	198   	11.9       	36.1       	3571      	-6.7
456       	17:09:30  	661.7 	4.5   	43    	38.1     	199   	12.3       	36.1       	3582      	-6.8
458       	17:09:32  	660.8 	4.4   	43    	38.3     	199   	12.6       	36.2       	3593      	-7.0
