Index,Varname,Duplicate_name,Expected_tracers
42,O3_ppbv,O3,HNO3_CIMS; PAN_CIMS; APAN_CIMS; PPN_CIMS; N2O5_CIMS; MVK_MACR_PTR; ISOPN_CIMS; C4H7NO5_CIMS; HCHO_CRDS; Formaldehyde; Benzaldehyde_PTR
43,CO2_Piccaro,,CO_Piccaro; CH4_Piccaro; CH4_CRDS; NO_LIF; NOy_LIF; Benzene_PTR; Benzene_WAS; Benzene; Ethyne_WAS; Acetylene; nButane_WAS; nButane
44,CH4_Piccaro,CH4_CRDS,CO2_Piccaro; Ethane_WAS; Ethane; Propane_WAS; Propane; nButane_WAS; nButane; iButane_WAS; Isobutane; CO_Piccaro
45,CO_Piccaro,,NO_LIF; NOy_LIF; CO2_Piccaro; Benzene_PTR; Benzene_WAS; Benzene; Ethyne_WAS; Acetylene; Ethene_WAS; Ethylene; HONO_CIMS; Acetaldehyde_PTR; HCHO_CRDS; Formaldehyde; nButane_WAS; nButane; iPentane_WAS; Isopentane
46,H2O_Piccaro,H2O_CRDS,Isoprene_WAS; Isoprene; Monoterpenes_PTR; Methanol_PTR; DMS_PTR
47,HCHO_CRDS,Formaldehyde,CO_Piccaro; NO_LIF; Isoprene_WAS; Isoprene; MVK_MACR_PTR; Acetaldehyde_PTR; PAN_CIMS; Ethene_WAS; Ethylene; Benzene_PTR; Benzene_WAS; Benzene
48,H2O_CRDS,H2O_Piccaro,Monoterpenes_PTR; DMS_PTR
49,CH4_CRDS,CH4_Piccaro,CO2_Piccaro; Ethane_WAS; Ethane; Propane_WAS; Propane; nButane_WAS; nButane; iButane_WAS; Isobutane; CO_Piccaro
50,Acetone_WAS,,Acetone_Propanal_PTR; PPN_CIMS; Methanol_PTR; CO_Piccaro; Isoprene_WAS; Isoprene; H2O_Piccaro
51,Benzene_WAS,Benzene_PTR; Benzene,Toluene_WAS; Toluene_PTR; Toluene; Ethyne_WAS; Acetylene; CO_Piccaro; NO_LIF; HONO_CIMS; nButane_WAS; nButane; iPentane_WAS; Isopentane; C8Aromatics_PTR
52,C2Cl4_WAS,,C2HCl3_WAS; CH2Cl2_WAS; CCl4_WAS; CF2Cl2_WAS; CFCl3_WAS
53,C2HCl3_WAS,,C2Cl4_WAS; CH2Cl2_WAS; CCl4_WAS
54,CCl4_WAS,,CF2Cl2_WAS; CFCl3_WAS; C2Cl4_WAS
55,CF2Cl2_WAS,,CCl4_WAS; CFCl3_WAS; C2Cl4_WAS
56,CH2Cl2_WAS,,C2Cl4_WAS; C2HCl3_WAS; CCl4_WAS
57,Ethyl_WAS,Ethylbenzene,m_p_Xylene_WAS; mpXylene; o_Xylene_WAS; oXylene; C8Aromatics_PTR; Toluene_WAS; Toluene_PTR; Toluene; Benzene_WAS; Benzene_PTR; Benzene; CO_Piccaro; iPentane_WAS; Isopentane
58,Ethane_WAS,Ethane,CH4_Piccaro; CH4_CRDS; Propane_WAS; Propane; nButane_WAS; nButane; iButane_WAS; Isobutane; CO2_Piccaro
59,Ethene_WAS,Ethylene,Ethyne_WAS; Acetylene; Propene_WAS; Propylene; x1_Butene_WAS; But1ene; x13_Butadiene_WAS; buta13diene; CO_Piccaro; NO_LIF; Acrolein_PTR
60,Ethyne_WAS,Acetylene,CO_Piccaro; NO_LIF; Benzene_WAS; Benzene_PTR; Benzene; Ethene_WAS; Ethylene; HONO_CIMS; Acrolein_PTR; Acetaldehyde_PTR; CO2_Piccaro; nButane_WAS; nButane
61,Isoprene_WAS,Isoprene,MVK_MACR_PTR; MACR_WAS; ISOPN_CIMS; C4H7NO5_CIMS; C5H10O3_CIMS; Monoterpenes_PTR; H2O_Piccaro
62,Limonene_WAS,,Alpha_Pinene_WAS; Beta_Pinene_WAS; Monoterpenes_PTR; D5_siloxane_PTR; C10H17NO4_CIMS; Isoprene_WAS; Isoprene_PTR
63,MACR_WAS,,MVK_MACR_PTR; Isoprene_WAS; Isoprene; ISOPN_CIMS; C4H7NO5_CIMS; C5H10O3_CIMS
64,Propane_WAS,Propane,Ethane_WAS; Ethane; nButane_WAS; nButane; iButane_WAS; Isobutane; CH4_Piccaro; CH4_CRDS; CO2_Piccaro
65,Propene_WAS,Propylene,Ethene_WAS; Ethylene; Ethyne_WAS; Acetylene; x1_Butene_WAS; But1ene; c2Butene_WAS; cis2Butene; t2Butene_WAS; trans2Butene; CO_Piccaro; NO_LIF
66,Toluene_WAS,Toluene_PTR; Toluene,Benzene_WAS; Benzene_PTR; Benzene; C8Aromatics_PTR; m_p_Xylene_WAS; mpXylene; o_Xylene_WAS; oXylene; CO_Piccaro; iPentane_WAS; Isopentane
67,Alpha_Pinene_WAS,Alphapinene,Beta_Pinene_WAS; Limonene_WAS; Monoterpenes_PTR; C10H17NO4_CIMS; D5_siloxane_PTR; Isoprene_WAS; Isoprene_PTR
68,Beta_Pinene_WAS,Betapinene,Alpha_Pinene_WAS; Limonene_WAS; Monoterpenes_PTR; C10H17NO4_CIMS; D5_siloxane_PTR; Isoprene_WAS; Isoprene_PTR
69,iButane_WAS,Isobutane,nButane_WAS; nButane; Propane_WAS; Propane; Ethane_WAS; Ethane; iPentane_WAS; Isopentane; CH4_Piccaro; CH4_CRDS
70,iPentane_WAS,Isopentane,nPentane_WAS; nPentane; iButane_WAS; Isobutane; nButane_WAS; nButane; C8Aromatics_PTR; Toluene_WAS; Toluene_PTR; Toluene; CO_Piccaro
71,m_p_Xylene_WAS,mpXylene,Ethyl_WAS; Ethylbenzene; o_Xylene_WAS; oXylene; C8Aromatics_PTR; Toluene_WAS; Toluene_PTR; Toluene; Benzene_WAS; Benzene_PTR; Benzene; iPentane_WAS; Isopentane; CO_Piccaro
72,nButane_WAS,nButane,iButane_WAS; Isobutane; Propane_WAS; Propane; Ethane_WAS; Ethane; nPentane_WAS; nPentane; iPentane_WAS; Isopentane; CO_Piccaro; CH4_Piccaro; CH4_CRDS
73,nHeptane_WAS,nHeptane,nHexane_WAS; nHexane; nOctane_WAS; nOctane; nNonane_WAS; nNonane; x2_Methylhexane; x3_Methylhexane; x23_Dimethylpentane; MethylCycloHexane_WAS; Methylcyclohexane; CO_Piccaro
74,nHexane_WAS,nHexane,nPentane_WAS; nPentane; nHeptane_WAS; nHeptane; x2_MethylPentane_WAS; x2_Methylpentane; x3_MethylPentane_WAS; x3_Methylpentane; MethylCycloPentane_WAS; Methylcyclopentane; x22_DiMethylButane_WAS; x22_Dimethylbutane; CO_Piccaro
75,nNonane_WAS,nNonane,nOctane_WAS; nOctane; nDecane_WAS; nDecane; nHeptane_WAS; nHeptane; nUndecane; Naphthalene_PTR; CO_Piccaro
76,nOctane_WAS,nOctane,nHeptane_WAS; nHeptane; nNonane_WAS; nNonane; nDecane_WAS; nDecane; x224_TriMethylPentane_WAS; x224_Trimethylpentane; CO_Piccaro
77,nPentane_WAS,nPentane,nButane_WAS; nButane; iPentane_WAS; Isopentane; nHexane_WAS; nHexane; Propane_WAS; Propane; CO_Piccaro
78,o_Xylene_WAS,oXylene,m_p_Xylene_WAS; mpXylene; Ethyl_WAS; Ethylbenzene; C8Aromatics_PTR; Toluene_WAS; Toluene_PTR; Toluene; Benzene_WAS; Benzene_PTR; Benzene; iPentane_WAS; Isopentane; CO_Piccaro
79,x135_TriMethylBenzene_WAS,x135_Trimethylbenzene,x124_TriMethylBenzene_WAS; x124_Trimethylbenzene; x123_TriMethylBenzene_WAS; x123_Trimethylbenzene; x3_x4_EthylToluene_WAS; mpEthyltoluene; x2_EthylToluene_WAS; oEthyltoluene; C9Aromatics_PTR; nPropylBenzene_WAS; nPropylbenzene; C8Aromatics_PTR; CO_Piccaro
80,x224_TriMethylPentane_WAS,x224_Trimethylpentane,nOctane_WAS; nOctane; x234_Trimethylpentane; iPentane_WAS; Isopentane; nHeptane_WAS; nHeptane; CO_Piccaro
81,nDecane_WAS,nDecane,nNonane_WAS; nNonane; nUndecane; nDodecane; nOctane_WAS; nOctane; Naphthalene_PTR; x3_Methylheptane; CO_Piccaro
