dt,USOS O3,UDAQ O3,merged_ozone,8hr_rolling_avg_USOS O3,MDA8_O3_USOS O3,Exceedance_day_USOS O3,8hr_rolling_avg_UDAQ O3,MDA8_O3_UDAQ O3,Exceedance_day_UDAQ O3,8hr_rolling_avg_merged_ozone,MDA8_O3_merged_ozone,Exceedance_day_merged_ozone
2024-07-17 23:00:00,55.695777777777785,58.0,55.695777777777785,71.45686633753765,78.4680607819821,True,62.0,72.75,True,71.45686633753765,78.4680607819821,True
2024-07-18 00:00:00,61.684666666666665,55.0,61.684666666666665,68.79482307824797,68.79482307824797,False,59.375,70.25,True,68.79482307824797,69.1755213748347,False
2024-07-18 01:00:00,59.85955555555555,54.0,59.85955555555555,66.27036474491464,68.79482307824797,False,56.875,70.25,True,66.27036474491464,69.1755213748347,False
2024-07-18 02:00:00,57.11811111111111,53.0,57.11811111111111,62.85915277777778,68.79482307824797,False,55.125,70.25,True,62.85915277777778,69.1755213748347,False
2024-07-18 03:00:00,56.37933333333333,53.0,56.37933333333333,60.13198611111111,68.79482307824797,False,54.375,70.25,True,60.13198611111111,69.1755213748347,False
2024-07-18 04:00:00,55.91377777777778,46.0,55.91377777777778,58.48543055555555,68.79482307824797,False,53.375,70.25,True,58.48543055555555,69.1755213748347,False
2024-07-18 05:00:00,54.72722222222222,37.0,54.72722222222222,57.935069444444444,68.79482307824797,False,51.375,70.25,True,57.935069444444444,69.1755213748347,False
2024-07-18 06:00:00,41.14033333333334,38.0,41.14033333333334,55.31484722222222,68.79482307824797,False,49.25,70.25,True,55.31484722222222,69.1755213748347,False
2024-07-18 07:00:00,39.55377777777778,38.0,39.55377777777778,53.29709722222222,68.79482307824797,False,46.75,70.25,True,53.29709722222222,69.1755213748347,False
2024-07-18 08:00:00,43.651888888888884,44.0,43.651888888888884,51.043,68.79482307824797,False,45.375,70.25,True,51.043,69.1755213748347,False
2024-07-18 09:00:00,44.74122222222222,55.0,44.74122222222222,49.15320833333334,68.79482307824797,False,45.5,70.25,True,49.15320833333334,69.1755213748347,False
2024-07-18 10:00:00,54.01790744710895,65.0,54.01790744710895,48.76568287533306,68.79482307824797,False,47.0,70.25,True,48.76568287533306,69.1755213748347,False
2024-07-18 11:00:00,64.45133333333334,72.0,64.45133333333334,49.77468287533306,68.79482307824797,False,49.375,70.25,True,49.77468287533306,69.1755213748347,False
2024-07-18 12:00:00,76.44922222222222,75.0,76.44922222222222,52.341613430888614,68.79482307824797,False,53.0,70.25,True,52.341613430888614,69.1755213748347,False
2024-07-18 13:00:00,79.400698212783,76.0,79.400698212783,55.425797929708715,68.79482307824797,False,57.875,70.25,True,55.425797929708715,69.1755213748347,False
2024-07-18 14:00:00,,74.0,74.0,57.46657858633377,68.79482307824797,False,62.375,70.25,True,59.53325626304205,69.1755213748347,False
2024-07-18 15:00:00,,75.0,75.0,60.45204538775977,68.79482307824797,False,67.0,70.25,True,63.964034040819826,69.1755213748347,False
2024-07-18 16:00:00,,69.0,69.0,,68.79482307824797,False,70.125,70.25,True,67.13254792970872,69.1755213748347,False
2024-07-18 17:00:00,,56.0,56.0,,68.79482307824797,False,70.25,70.25,True,68.53989515193095,69.1755213748347,False
2024-07-18 18:00:00,59.1029172303391,51.0,59.1029172303391,,68.79482307824797,False,68.5,70.25,True,69.1755213748347,69.1755213748347,False
2024-07-18 19:00:00,57.31233333333333,50.0,57.31233333333333,,68.79482307824797,False,65.75,70.25,True,68.2831463748347,69.1755213748347,False
2024-07-18 20:00:00,54.12522222222222,46.0,54.12522222222222,,68.79482307824797,False,62.125,70.25,True,65.4926463748347,69.1755213748347,False
2024-07-18 21:00:00,52.75522222222222,42.0,52.75522222222222,,68.79482307824797,False,57.875,70.25,True,62.16196187601461,69.1755213748347,False
2024-07-18 22:00:00,45.159,49.0,45.159,,68.79482307824797,False,54.75,70.25,True,58.55683687601461,69.1755213748347,False
2024-07-18 23:00:00,48.57955555555556,51.0,48.57955555555556,52.839041760612076,68.79482307824797,False,51.75,70.25,True,55.25428132045906,69.1755213748347,False
2024-07-19 00:00:00,54.062999999999995,49.0,54.062999999999995,53.01389293766749,69.28827335011427,False,49.25,63.375,False,53.387156320459056,69.28827335011427,False
2024-07-19 01:00:00,52.678,44.0,52.678,52.971906320459055,69.28827335011427,False,47.75,63.375,False,52.971906320459055,69.28827335011427,False
2024-07-19 02:00:00,49.468888888888884,38.0,49.468888888888884,51.76765277777777,69.28827335011427,False,46.125,63.375,False,51.76765277777777,69.28827335011427,False
2024-07-19 03:00:00,43.21311111111111,38.0,43.21311111111111,50.00525,69.28827335011427,False,44.625,63.375,False,50.00525,69.28827335011427,False
2024-07-19 04:00:00,40.17688888888889,36.0,40.17688888888889,48.26170833333333,69.28827335011427,False,43.375,63.375,False,48.26170833333333,69.28827335011427,False
2024-07-19 05:00:00,39.413666666666664,34.0,39.413666666666664,46.59401388888889,69.28827335011427,False,42.375,63.375,False,46.59401388888889,69.28827335011427,False
2024-07-19 06:00:00,39.022666666666666,30.0,39.022666666666666,45.826972222222224,69.28827335011427,False,40.0,63.375,False,45.826972222222224,69.28827335011427,False
2024-07-19 07:00:00,38.632333333333335,30.0,38.632333333333335,44.58356944444445,69.28827335011427,False,37.375,63.375,False,44.58356944444445,69.28827335011427,False
2024-07-19 08:00:00,27.79711111111111,41.0,27.79711111111111,41.30033333333333,69.28827335011427,False,36.375,63.375,False,41.30033333333333,69.28827335011427,False
2024-07-19 09:00:00,39.48844444444445,51.0,39.48844444444445,39.65163888888888,69.28827335011427,False,37.25,63.375,False,39.65163888888888,69.28827335011427,False
2024-07-19 10:00:00,49.714666666666666,55.0,49.714666666666666,39.68236111111111,69.28827335011427,False,39.375,63.375,False,39.68236111111111,69.28827335011427,False
2024-07-19 11:00:00,58.449222222222225,63.0,58.449222222222225,41.586875000000006,69.28827335011427,False,42.5,63.375,False,41.586875000000006,69.28827335011427,False
